,Genes,S001,S002,S003,S004,S005,S060,S006,S007,S008,S009,S062,S010,S011,S021,S012,S013,S063,S014,S015,S023,S016,S017,S064,S018,S019,S026,S020,S022,S024,S025,S030,S053,S032,S033,S067,S034,S036,S068,S038,S039,S041,S069,S043,S091,S045,S070,S046,S047,S092,S048,S049,S071,S050,S093,S054,S055,S057,S094,S073,S074,S080,S081,S096,S075,S085,S086,S088,S089,S072,S082,S035,S078,S077,S095,S029,S037,S079,S061,S066,S031,S052,S076,S083,S087,S090,missing,mean_intensity
1178,ADD2,9.04390795305177,9.15974609851506,10.2108889772939,10.52759068133,8.73352703608714,10.2206388341968,6.3179700538238,11.1145737577792,7.28800800029744,9.76962015646368,10.7242655145796,9.94791959450264,10.1079755975915,9.78858009740615,10.3865721791574,10.4631898625158,10.2276257534555,10.2483005477645,10.1893578481725,10.0803997313386,8.40909870067869,10.5146879551166,8.7858542180759,10.7051855018579,8.65028098088897,8.32398060583085,9.1538268986235,10.4273797101436,10.5479590422465,9.86281263705929,11.2972927795804,7.55529688891983,8.99677154773996,10.0273090567526,9.78565692133613,10.1070813931301,9.67961321736033,9.47363569147485,10.2117437662686,11.0523659820185,9.68706247657431,10.2435188019418,8.29736333054101,8.75895516492384,10.0019384610706,11.6613304673971,10.2060106498242,10.7075382781773,8.49820362841657,10.4282364422526,10.6205046990582,7.25927102436669,8.76273153473491,9.92794205309656,9.21465838640221,10.8527991231579,10.6547714013546,8.23726073021905,9.06448581669953,,7.89075413731386,6.22009888944266,8.97309120696065,10.8244206271545,10.3246545013653,9.99812260975198,10.1506763578872,10.4179257880582,10.4612156332751,9.99501388348064,9.78363973005199,9.57965891625648,9.08396613897373,7.79399120033716,8.7846800434406,9.55737011177713,9.90440172960026,9.47204472315345,8.24187869744426,10.0167897011253,8.81107002873787,10.6788804675653,9.86415832223941,9.34584087749865,9.53213441795694,0.011764705882352941,9.49319197279254
9011,ADD2,,,7.16171902781138,7.11175100578116,,7.16220666348445,,7.81611869873759,,,7.51394457036392,7.29466254050658,7.41250548981165,7.01432741244726,7.30659487058138,7.72574055435084,7.72825195210358,6.87917519909209,7.21809483553722,7.18453976288515,,7.96344113717738,,,,,6.63915102284865,6.9074708504574,7.32237714551835,6.96815558117052,7.88298478509553,,,,,7.47332236896085,7.0662826550219,,,8.11226799528929,7.21692218169887,6.34447436964926,,6.66164024404491,7.12630989887934,8.50881819628414,7.56019488518161,,,,7.61176944390085,,,,,7.60523870178676,7.21081473898265,,,,,,,,7.62024379533866,,,,,,,7.04758052893616,5.44380126560495,,,,,,,7.0570606586806,,7.13507586702939,,,7.68505077312998,0.5529411764705883,7.109051867964945
8080,AGTRAP,9.35858941237092,10.0561002299877,9.42919049423255,9.62835570511319,7.32860006076132,9.18217960330022,,9.60374501182883,,7.61918009535225,9.54976874886323,9.92746965465682,9.93190630916595,9.56592708060594,10.0971191777881,9.11765797954837,8.32907143706305,8.96565115290269,9.92073044351652,9.62674595477604,8.63849813480565,9.40049051596671,9.45971021820127,9.42796423629845,9.24310331214121,9.38716286213892,9.72790579004785,9.77954409358176,9.16475892091423,9.75695453990406,9.4090055778394,,8.38883362999227,9.10257756827783,8.75412938345443,9.58815677899734,9.61946243750021,10.0655814175693,9.92769358967028,8.8995483773487,10.0817084593949,9.44811450957458,9.05467531327456,,9.65433040197703,9.05816464024336,8.95613221348318,9.27636469220743,9.30261966895843,8.56866774838281,8.8029464559305,8.70432189095037,10.1233714902038,7.28674676202518,9.62245406440931,9.35652467533482,9.22187448203212,8.92850641308578,8.87992357201396,8.78399933153516,,,8.55572150331539,9.01499483640179,8.75155158687952,8.54636837346609,9.62189010587922,9.26260039876697,9.44415545782724,8.67307900446875,8.61859101863162,9.35625307509909,8.75024036330458,,10.4894817986546,8.84853276815714,8.24281257358697,10.392290908341,8.94144585759675,9.97451102173705,10.0919951214372,9.1898315822629,9.47467791295932,7.68847499779554,8.54078266324837,0.08235294117647059,9.096748766993601
8082,AGTRAP,9.27008792866963,,,,,,,,,,,8.69133963851576,,8.72180405366511,9.21843250429821,,,,8.53166978520815,,,,,8.50936092605945,8.24697060061141,8.57567791147479,,8.65506898393082,,8.89258280368157,,,,,8.97017172401721,,9.28738644942192,8.56369548041173,,,9.09656322516295,8.72586397583703,,,8.59056766724864,,,8.13550828247387,,,,7.88613026697542,8.97570282697947,,9.01601561410527,,,,8.85425366121712,,,,,,,,,,,,,,,,8.83726600605932,,,8.75889558907088,8.91849860846743,9.09430580786588,9.22519222812945,,,,,0.6941176470588235,8.479375192467309
6069,AKR1C3,9.76612958885889,10.1419412546252,9.32664933394877,9.45746008802152,8.1293534750666,9.49129280605825,,9.61633433322074,3.54217561515181,7.73650666550786,8.81839784038635,7.95555862320597,10.0387158868696,9.1928895097864,9.77159886615402,10.4839078726282,9.42248385030892,9.20735329284141,9.78101684135919,9.86709751328365,7.86855158883091,10.0526860556582,10.0691433750331,10.0223477641646,10.414420912264,10.6103316690589,9.42313894429152,10.274887876776,8.31900627551164,8.75323619291591,8.82488399225664,8.79853346343321,8.61511954630762,8.80052762679935,5.60499018982263,9.74052060200254,8.87314885124163,9.65073081165355,9.74586755601201,8.99401642440212,9.45784428043156,10.2515089117122,10.5220916017129,,9.32131507970015,9.07446603350651,10.7857700517943,11.5104057972423,9.29308122104232,11.1094108054874,8.30173025930227,10.2761890876614,9.71610914401774,8.20961529552845,9.79111508236718,10.8013452074272,9.7850619396488,8.23755855342536,9.17858305027783,8.39055868816429,5.76661912272743,,8.58495560834528,8.51327832520374,8.77342684597505,9.38503709603939,9.60718109998445,9.27320908783241,10.0620701303544,8.41347680703167,9.92092134383531,6.64267468781415,10.1623933037334,,9.8188720497377,6.93645744537185,7.72380359762721,9.38610412094356,10.8171946249582,9.10192202936576,9.7786847958162,9.69808069416501,9.4376051921964,5.89654667316075,7.94961857058781,0.047058823529411764,9.035535428567147
9436,AKR1C3,7.07031424610056,7.17422901739306,,,,6.99863992789737,,,,,,,6.97224356136489,,6.65857739655176,7.53785759501055,,,7.14692860081618,6.39311313938244,,7.48082736936787,7.8412795581521,6.85376736843339,7.63626102676551,7.05658932783033,,7.05898683388686,,6.70921228484212,,,,,,,6.28169116587116,6.82636795825181,7.52814985572547,,6.39772378893395,6.16981321348345,7.93721961166685,,6.32746502976082,,8.10871308983062,8.59933757598418,7.46915106413113,8.21193145450867,,7.73178669539624,7.28196568219726,,7.31530610729221,8.09360794876197,7.27969183895859,5.87426607244864,6.873549036414,6.07833906246855,,,6.5184405355851,,,6.59440660880321,7.40129118970842,6.99531139816188,,6.79162684029879,6.68890760186297,,5.79239303838081,,6.70739265743296,,,6.94901844927037,8.01413664628468,,6.60971104389491,6.96649889059262,7.40986168511053,,,0.4470588235294118,6.934603310724941
984,ALDH9A1,10.1222662404729,9.71800854961744,9.42718266103464,10.2436473335407,8.28458073485794,10.6264878595869,6.87774365796601,9.77828307217103,6.38548773881202,7.6565194180146,9.99816961168318,9.55364136239127,10.4281077445875,11.096066083859,10.1596350982666,9.94905753189993,10.0844844066183,9.53565919358758,10.4570247940879,10.197876874203,7.73469532954952,10.5257811405522,10.146403979103,9.97012152181723,10.9223842091371,11.1484467550157,9.99663327549995,10.8694114401935,9.26072524527783,10.4523371268802,9.51765615474536,9.04191175845074,8.54130553210249,9.04196388982328,8.48362537788846,10.0703545635878,10.3466382261373,11.7817303901553,10.3406915973676,9.3477332298916,10.1886299047356,10.5966848233063,10.9910236627329,7.52968694192984,9.70133551953381,10.3181967685532,10.2831538189118,10.8546325028138,11.136629855318,10.8418393638429,9.3786263843931,11.2560675250527,10.6797388469771,8.3751928707486,10.7027932664586,10.3404182523467,10.0114766747637,10.0327382954729,10.5695740293327,9.99898952680494,6.81579624941409,8.87482953710984,10.3970316881556,9.77664957512619,9.97219217298342,10.9435265046517,9.55701065201383,9.9892462235667,10.8754107292852,9.98876482268973,10.4316197406935,9.59617351232274,10.892660343487,6.82089930115389,10.9498743639842,8.41619491113304,8.83838035584541,11.0055697662493,10.9585283310469,10.8337168018454,10.3873374721167,10.6045176738793,10.5229932914464,7.89859456476149,9.24255446477169,0.0,9.726720727839501
2969,ALDH9A1,,,,,,,,,,,,,,,,7.11779414501853,,,7.16418846104014,,,7.40522480073709,,,6.42588482751639,7.93374468970832,,,,,,,,,,6.21829688794376,,8.13591652726374,6.94198249131083,,,,6.73124793198277,,,,,7.21854747884258,,7.42067234195844,,7.40941290573138,,,6.99348910185041,,,,,,,,,,,7.61199394993895,,,7.35799442257207,,7.19086274319247,,7.42454439000161,,6.49093210805425,,,7.44904086520762,7.53924078850014,6.75061962447752,7.20454403940512,,,,,0.7411764705882353,6.907710956210537
213,ANKFY1,8.68248914509404,8.83529578367333,8.25290427386052,9.12129872198113,7.45714190326302,8.54779395959399,5.05193260511276,8.58974886890462,,7.18086245482817,9.08970247478227,8.55852859693645,9.40044370301829,9.11462088390023,9.32247209648054,8.7969554623963,8.46299469413828,8.74526834323864,9.40462606086,8.96849565178771,7.07485217806423,9.25417988558461,8.95229784144478,8.64642458660625,9.16165867622308,9.30852253675123,8.88637357775881,9.03617214345775,8.4940020139055,9.22708381556448,8.99881939869382,7.4917165970583,7.70384714314466,7.95668818798339,7.73864380514637,8.6257648875694,8.99396716534163,9.69868327668404,8.84648804524882,8.47307329464262,8.81809243431621,9.97054930194436,9.04117530925525,,8.79625368347952,9.20194540016446,8.98496935150152,9.24685551953678,9.26657947615432,8.86440681421849,8.39012101969731,9.15371509116104,9.52362955504547,7.45756589370957,9.3649142536854,8.9162784487652,8.80526105213171,7.99825418432274,8.7866493651817,8.26025870158036,,,8.67853265418451,8.48372524565233,8.82042767499553,9.03745347052288,8.52328828936316,8.86430948527169,9.26590370934565,8.65407669050829,9.18459672855342,8.13976570472011,9.09544614386095,3.98735870013974,9.81624138924191,7.79530387067242,8.01396711078746,9.66004022845518,9.42523691692476,9.62327935237868,9.56672827412581,9.48568356311762,9.22451619972651,7.37360019475516,7.73171418438703,0.047058823529411764,8.554860539046288
9373,ANKFY1,,,,,,,,,,,7.74247958212966,,8.7356194725015,,7.78319114980382,,,,7.57098754174948,7.21348591016266,,8.40418059347032,,7.96927764309568,7.2739391883695,7.32534950506404,7.59914077525312,8.06034408269551,,,,,,,,,,,,,7.69107839036771,7.77478086572254,,,,7.99206002206876,,8.37428861613171,8.30895358271674,,,7.64283715537791,7.68372293262131,,,,,,,,,,,,7.16976384514841,7.39941474144057,6.47532141283143,6.81347923747524,,,,,7.23789359086808,,7.5101223245032,,,8.11318302059878,7.62066164209275,8.34883867051364,7.72079152509363,7.82835846470961,7.42867371778615,,,0.6470588235294118,7.4664283234159
