protein,missingness_percentage
AOX1,17.647058823529413
AP1B1,1.1764705882352942
AP1G1,4.705882352941177
AP1G2,21.176470588235293
AP1M1,4.705882352941177
AP1S1,12.941176470588237
AP1S2,4.705882352941177
AP2A1,1.1764705882352942
AP2A2,4.705882352941177
AP2B1,1.1764705882352942
AP2M1,4.705882352941177
AP2S1,3.5294117647058822
AP3B1,4.705882352941177
AP3B2,87.05882352941177
AP3D1,5.88235294117647
AP3M1,5.88235294117647
AP3M2,48.23529411764706
AP3S1,10.588235294117647
AP4B1,68.23529411764706
AP4E1,55.294117647058826
AP4M1,94.11764705882352
AP4S1,18.823529411764707
AP5B1,37.64705882352941
AP5M1,60.0
AP5S1,51.76470588235295
AP5Z1,23.52941176470588
APAF1,11.76470588235294
APBB1,42.35294117647059
APBB1IP,10.588235294117647
APBB2,44.70588235294118
APCS,0.0
APEH,1.1764705882352942
APEX1,3.5294117647058822
APEX2,100.0
APH1A,56.470588235294116
API5,5.88235294117647
APIP,9.411764705882353
APLP2,9.411764705882353
APMAP,1.1764705882352942
APOA1,0.0
APOA2,0.0
APOA4,1.1764705882352942
APOA5,35.294117647058826
APOB,0.0
APOBEC3A,87.05882352941177
APOBEC3B,64.70588235294117
APOBEC3C,28.235294117647058
APOBEC3F,56.470588235294116
APOBEC3G,41.17647058823529
APOBR,11.76470588235294
APOC1,1.1764705882352942
APOC2,0.0
APOC3,0.0
APOC4,5.88235294117647
APOD,0.0
APOE,0.0
APOF,2.3529411764705883
APOH,0.0
APOL1,1.1764705882352942
APOL2,5.88235294117647
APOL3,21.176470588235293
APOM,2.3529411764705883
APOO,8.235294117647058
APOOL,9.411764705882353
APP,4.705882352941177
APPL1,5.88235294117647
APPL2,8.235294117647058
APRT,1.1764705882352942
APTX,77.64705882352942
AQP1,4.705882352941177
AQP7;AQP7P3,91.76470588235294
AQR,36.470588235294116
ARAF,20.0
ARAP1,8.235294117647058
ARAP3,42.35294117647059
ARCN1,3.5294117647058822
ARF1,1.1764705882352942
ARF3,100.0
ARF4,1.1764705882352942
ARF5,1.1764705882352942
ARF6,3.5294117647058822
ARFGAP1,12.941176470588237
ARFGAP2,15.294117647058824
ARFGAP3,18.823529411764707
ARFGEF1,18.823529411764707
ARFGEF2,16.470588235294116
ARFGEF3,91.76470588235294
ARFIP1,8.235294117647058
ARFIP2,43.529411764705884
ARFRP1,38.82352941176471
ARG1,2.3529411764705883
ARGLU1,18.823529411764707
ARHGAP1,1.1764705882352942
ARHGAP10,21.176470588235293
ARHGAP12,45.88235294117647
ARHGAP15,41.17647058823529
ARHGAP17,9.411764705882353
ARHGAP18,5.88235294117647
ARHGAP21,48.23529411764706
ARHGAP23,78.82352941176471
ARHGAP24,51.76470588235295
ARHGAP25,12.941176470588237
ARHGAP26,24.705882352941178
ARHGAP27,29.411764705882355
ARHGAP29,62.35294117647059
ARHGAP30,17.647058823529413
ARHGAP31,55.294117647058826
ARHGAP35,25.882352941176475
ARHGAP36,95.29411764705881
ARHGAP4,8.235294117647058
ARHGAP42,62.35294117647059
ARHGAP44,77.64705882352942
ARHGAP45,8.235294117647058
ARHGAP5,51.76470588235295
ARHGAP6,21.176470588235293
ARHGAP9,20.0
ARHGDIA,0.0
ARHGDIB,0.0
ARHGEF1,4.705882352941177
ARHGEF10,15.294117647058824
ARHGEF10L,17.647058823529413
ARHGEF11,34.11764705882353
ARHGEF12,14.117647058823529
ARHGEF15,62.35294117647059
ARHGEF16,96.47058823529412
ARHGEF17,21.176470588235293
ARHGEF18,29.411764705882355
ARHGEF2,8.235294117647058
ARHGEF25,57.647058823529406
ARHGEF37,27.058823529411764
ARHGEF40,41.17647058823529
ARHGEF5,89.41176470588236
ARHGEF6,7.0588235294117645
ARHGEF7,9.411764705882353
ARID1A,24.705882352941178
ARID1B,34.11764705882353
ARID2,78.82352941176471
ARID4B,80.0
ARIH1,11.76470588235294
ARIH2,10.588235294117647
ARL1,7.0588235294117645
ARL15,17.647058823529413
ARL2,10.588235294117647
ARL2BP,14.117647058823529
ARL3,5.88235294117647
ARL4C,81.17647058823529
ARL5A,35.294117647058826
ARL6,42.35294117647059
ARL6IP1,5.88235294117647
ARL6IP4,32.94117647058823
ARL6IP5,2.3529411764705883
ARL6IP6,31.76470588235294
ARL8A,3.5294117647058822
ARL8B,4.705882352941177
ARMC1,22.35294117647059
ARMC10,10.588235294117647
ARMC5,95.29411764705881
