Gene,S001,S002,S003,S004,S060,S007,S062,S010,S011,S021,S012,S013,S063,S014,S015,S023,S017,S064,S018,S019,S026,S020,S022,S024,S025,S030,S053,S032,S033,S067,S034,S036,S068,S038,S039,S041,S069,S043,S045,S070,S047,S092,S048,S049,S071,S050,S054,S055,S057,S094,S073,S074,S096,S075,S085,S086,S088,S089,S072,S082,S035,S078,S077,S029,S079,S061,S066,S031,S052,S076,S083,S090
MRPL15,8.474815,8.028868,8.36337,8.830108,8.684295,8.368313,8.431644,7.668059,8.265882,9.639195,8.825204,7.7274127,8.557346,8.6363325,8.9475975,7.83295,8.78541,8.299859,8.491907,9.014625,8.72871,8.568494,8.722914,8.45995,9.50434,8.433704,8.195829,8.263279,8.353396,8.292293,8.467839,8.828348,9.389824,8.534665,7.7497883,9.112746,8.375593,8.487878,8.558722,8.917819,8.540907,8.419114,8.245113,8.421104,8.366564,8.555688,8.891416,8.551309,8.791467,8.268554,9.104948,8.01556,8.596577,8.378511,8.579519,8.937467,8.680008,8.25721,9.293317,8.370944,8.617108,7.7847066,8.361893,9.297591,8.262752,8.959427,8.73449,9.324501,8.948736,9.126665,8.683457,7.6733255
MRPL19,8.030699,8.481413,8.144153,8.610598,8.266588,7.673566,8.342723,8.114397,8.449529,9.221581,8.766529,7.498037,7.6641827,8.144094,8.873867,8.094272,8.913535,8.542322,7.738929,8.792679,9.059474,8.209138,8.479036,8.13528,9.112264,7.214427,8.013666,7.864567,7.969552,7.918643,8.255285,8.540685,9.21948,8.315042,7.980151,8.746411,8.870859,8.552891,8.4984865,8.392937,8.423402,8.633014,8.012541,7.8904166,8.442523,8.496139,8.587171,8.056913,8.111511,7.65608,8.520151,8.552355,8.513333,7.5061116,8.251945,8.783212,8.173122,8.282727,9.138173,8.532152,8.450685,7.6776686,8.485743,9.293246,7.8487716,9.074974,8.676869,9.161902,8.451608,8.618027,8.3413515,8.133023
MRPL20,8.61333,7.9809494,7.973808,9.046213,8.36945,7.858899,7.4344363,6.8570223,8.506699,9.2801075,8.577081,7.8416276,8.186571,7.024217,8.575992,7.4793057,8.49149,8.256397,8.2925825,8.573492,8.341594,7.659682,8.564024,8.539002,9.092534,7.89961,8.041727,7.5891023,8.143644,6.934849,7.510464,8.932779,9.254759,8.4669895,7.872885,8.572177,8.360361,8.142039,8.240278,8.09208,8.150721,8.512919,8.465163,7.9317503,7.953284,8.135572,8.568842,9.088249,8.3132715,7.7303143,9.168745,8.117296,9.723798,7.6990447,7.9828563,8.493454,7.6933556,8.012452,8.532362,7.7125416,8.277967,7.4906554,8.394045,9.073375,7.1142926,8.386684,8.548337,9.125397,8.550955,8.588914,8.427628,7.2249417
MRPL21,8.224332,8.305079,8.62955,8.621792,8.488655,8.091821,8.236101,7.957776,8.488995,9.596004,8.905715,7.5531936,8.27322,8.196751,9.213551,8.196522,8.829188,8.579842,8.012205,8.741158,8.502867,8.312056,8.442836,8.382221,9.063882,8.561622,6.7127995,7.0114183,7.764508,7.6801133,8.336137,9.008297,9.370866,7.9864287,8.264781,8.957631,8.469372,8.30614,8.3815155,8.780444,8.40795,8.78657,8.395337,8.15845,8.526387,8.660133,8.828107,8.469352,8.589385,8.519657,8.837091,8.554867,8.472216,7.2368965,7.9897437,9.0759,8.491372,8.315454,9.092466,8.229386,8.38799,7.9978914,8.104888,9.220622,7.364336,8.979005,8.506277,9.232117,8.841859,8.684384,8.789384,8.214958
MRPL22,8.816874,8.670879,8.554267,9.320741,8.938791,8.870045,8.777749,8.191912,8.78081,9.827862,9.315873,8.814307,8.57696,8.850057,9.553747,8.456975,9.192704,9.149803,8.929057,9.275376,8.95149,8.574678,9.078258,8.949106,9.583918,8.92342,8.8157625,8.801496,8.688756,8.722901,8.628367,9.441241,9.932523,8.774731,8.718334,9.336395,8.813072,9.094665,9.334991,9.32043,8.435679,9.055794,8.985505,8.767776,8.955576,9.076058,9.326198,8.874964,8.713698,9.434209,9.04761,8.679829,9.554944,8.817179,9.369505,9.180107,9.019925,9.202673,9.392318,8.568579,8.989264,7.903818,9.113431,9.7450485,8.749317,9.544222,9.168861,9.775551,9.119119,9.240288,9.139633,8.807797
MRPL24,8.129755,8.145495,7.7892437,8.459533,8.473539,8.387401,8.131148,7.70979,8.285827,8.949047,8.423732,7.856707,8.319153,8.232167,8.760987,7.846794,8.284425,8.362367,8.563986,8.394705,8.573901,8.229371,8.521617,7.511159,8.800775,8.241734,8.035402,8.257147,7.7966213,8.247472,8.253474,8.776669,9.047202,8.375016,8.235895,8.321808,8.707257,8.446861,8.560607,8.178125,8.364608,8.416268,8.302034,8.016147,8.355287,8.417143,8.573832,8.502134,8.573762,8.172194,8.4517765,8.136557,7.243253,8.225433,8.67614,8.021263,8.209951,7.9120727,8.616146,8.214548,8.72148,8.248464,8.436681,9.105139,8.248464,8.725026,8.522383,9.300162,8.700706,8.702101,8.00883,8.150277
MRPL27,8.296154,8.329117,8.86153,8.9331,8.510152,8.225773,8.37578,8.231995,8.529004,9.14778,8.594011,7.827606,8.270543,8.335747,8.747912,8.520086,8.796459,8.532884,8.031057,8.950824,8.645104,8.442395,8.113473,8.215519,8.93752,8.176204,8.077925,7.9605446,8.090886,8.053623,8.381351,8.920133,9.355586,8.362928,7.853528,9.179097,9.175811,8.640739,8.719616,8.912552,8.7753935,9.210758,8.610953,8.312068,8.843283,8.803037,8.931107,8.494107,8.286426,7.2900324,8.519179,8.14022,8.6817875,7.562035,7.787384,9.147706,8.370643,8.192926,9.122071,7.8971496,8.7402115,7.719016,8.644926,9.16776,8.042348,9.099139,8.786731,9.37166,8.805566,8.685121,8.510317,7.4535546
MRPL34,7.9076076,8.225066,8.023905,8.886206,7.8399057,7.693433,7.556524,7.3732977,8.269072,8.965395,8.319756,8.003355,8.2792,7.8928514,8.526839,8.229526,8.355409,8.321094,6.7635827,8.389955,8.057861,7.810919,8.1954365,8.078086,9.016488,7.9023046,7.772216,7.597476,7.434528,7.576065,8.306038,8.278466,9.315311,8.099046,7.406347,8.944481,8.718544,8.1485815,8.145245,8.272278,7.9496512,8.871827,7.4050612,7.6342173,7.8698916,8.271045,8.510754,8.240048,7.7015104,7.705789,8.167466,8.057366,8.930498,7.5595336,8.1485195,8.56153,8.35422,8.131165,8.807001,7.322401,8.159307,7.812131,8.145282,8.686703,6.855506,8.887386,8.110461,9.091054,8.477203,8.830735,8.42182,8.614523
MRPL37,8.121589,8.349151,8.126196,8.933646,8.379705,7.5363536,8.56793,7.8306246,8.655785,9.514471,8.809683,7.765903,8.204082,8.168793,9.242018,8.0149355,8.698405,8.51747,8.0322275,8.935478,8.725163,8.424709,8.462984,8.406269,9.341841,8.100691,7.2470675,7.376669,7.647678,7.948016,8.2919655,8.9392,9.195135,8.083509,7.7630696,8.92146,8.325119,8.5252695,8.547473,8.694408,8.275203,8.783583,8.015059,8.148111,8.378501,8.608637,8.8164215,8.064435,8.059649,8.245646,8.70835,8.238486,8.49194,7.797301,8.172609,8.598672,8.303235,8.206749,8.862336,8.072299,8.374627,7.5032973,8.417725,9.388565,8.294114,8.959188,8.547603,9.428729,8.796163,8.631405,8.520315,7.805046
MRPL38,8.431023,8.356961,8.924671,8.993143,8.72644,8.186073,7.885877,7.3440804,8.613057,9.426628,8.707254,8.083617,8.323026,8.207522,9.335419,8.447867,8.778806,8.599718,8.110694,9.079251,8.619145,8.20039,8.150033,8.50973,9.743419,7.7463827,7.8836265,7.82968,7.9048486,7.646704,8.283168,8.991325,9.2450075,8.3573885,7.997819,9.092998,9.561565,8.776099,8.758586,8.765717,8.341818,8.62004,8.07903,7.841739,8.803143,8.7015705,9.167172,8.037093,8.190814,8.659169,8.572938,8.4227295,8.874308,8.141892,8.311432,9.30126,7.5383425,7.936202,9.213877,8.297341,8.754257,7.2324576,9.069625,9.397731,6.910646,9.027774,8.661926,9.559497,8.935398,9.1331415,8.8872795,8.26375
MRPL39,8.64857,8.820988,7.5997653,8.732196,8.344503,8.065644,7.979718,8.401213,8.428048,9.3617935,8.717844,7.535615,8.328694,8.08639,9.1536,8.831398,8.827739,8.367953,8.406214,8.691616,8.836045,8.18892,8.389651,7.8667207,9.094598,8.315259,8.151458,8.151814,8.147402,8.240848,7.932125,8.793923,9.235018,8.204355,8.193939,8.900519,8.788263,8.712922,7.923263,8.769149,8.260556,9.102707,8.057229,8.179567,8.704132,8.740474,8.73892,8.380903,7.955219,8.119763,9.10493,8.307277,8.5474,8.22749,8.680408,9.034753,8.8098545,9.015923,8.784993,8.544936,8.488496,8.186213,8.687491,9.080315,8.186213,8.755559,8.599999,9.187077,8.78613,9.02649,8.552541,8.219595
MRPL4,7.6526866,7.9366817,8.315069,8.335904,8.060251,7.9030795,6.7523,7.058201,8.118168,9.133674,8.306448,7.90112,8.157374,7.5312223,8.70926,7.9961195,8.104941,8.054213,7.3808646,8.728446,8.410214,8.007706,8.356305,7.859854,9.080714,7.8287315,8.092608,7.8082657,8.056948,6.3778977,8.069339,8.359869,8.954126,7.9116993,7.297876,8.863359,8.069624,8.05038,7.984666,8.120834,8.3592205,8.135028,7.9942245,7.851917,8.173215,8.204603,8.579502,8.177128,7.9460382,8.647483,8.191402,7.91226,8.329018,8.008981,7.7123656,8.941285,8.041579,7.777971,9.136032,10.098248,8.503153,7.5646415,7.897096,9.074674,7.504262,8.658751,8.465359,9.23697,8.353437,8.809296,8.236996,8.1226635
