Pathway,Embedding,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Model,Fold
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_26,11,-0.5094946372768057,0.10940861000092117,-0.5545454545454546,0.07665233333978251,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_27,11,-0.307741021627693,0.35724350875263916,-0.20909090909090913,0.5372209352113229,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_28,11,0.24506341746154245,0.46765526350454306,0.16363636363636366,0.6306852146425357,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_29,11,-0.03607581151799602,0.9161353615768026,-0.03636363636363637,0.9154683168905347,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_30,11,0.42303226940391936,0.1948571466839624,0.6181818181818182,0.042645569805326695,Baseline,0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,embedding_31,11,0.5574581012485242,0.07479375273102104,0.5818181818181819,0.060419896215648305,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_0,11,0.5437073854446473,0.08383845247341885,0.5272727272727273,0.09556521835315422,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_1,11,-0.3565615937295052,0.2817678833483822,-0.29090909090909095,0.38545696969136556,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_2,11,-0.4105918350488212,0.20970903070209962,-0.2545454545454546,0.4500365768888285,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_3,11,-0.4496298008571819,0.16528668088775098,-0.2545454545454546,0.4500365768888285,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_4,11,0.11875223543062852,0.7280208269629069,-0.10000000000000002,0.7698749998921366,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_5,11,-0.20210351368765364,0.5512065904238943,-0.10000000000000002,0.7698749998921366,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_6,11,-0.0721277172094126,0.833086834985441,0.18181818181818182,0.5926152128455,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_7,11,0.21178593866939693,0.531866233068388,0.4272727272727273,0.189943724965427,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_8,11,0.1404143650705576,0.6804952846899203,-0.23636363636363636,0.4840911622253965,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_9,11,0.16714220104436933,0.6232780011295386,0.09090909090909091,0.7903727377532903,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_10,11,0.03502284353868243,0.918576064449567,0.3090909090909091,0.3550284397015071,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_11,11,-0.05374897560306166,0.8752819875984782,0.19090909090909092,0.5739131682855215,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_12,11,0.053239168374310995,0.8764570800206737,0.3454545454545455,0.2980892209030388,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_13,11,0.3817485379655706,0.24665299518614306,0.19090909090909092,0.5739131682855215,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_14,11,-0.4988693679934306,0.11827108163908531,-0.14545454545454548,0.6695786456420787,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_15,11,0.21751665941446013,0.5205545427473988,0.11818181818181818,0.72928477951978,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_16,11,0.45104362601797554,0.1637976718307861,0.5181818181818182,0.10249153979096383,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_17,11,-0.2694344264887388,0.4230106043302346,-0.22727272727272727,0.501535667604937,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_18,11,-0.18254769981459829,0.5911059982805701,-0.08181818181818183,0.8109903943000458,Baseline,0
REACTOME_COLLAGEN_FORMATION,embedding_19,11,0.5047311320383078,0.11332673143473372,0.3272727272727273,0.32589494101284167,Baseline,0
