protein,significance
PF4V1,1
PFDN1,1
PFDN2,1
PFDN5,1
PFN1,1
PGK1,1
PGLYRP2,1
PGRMC1,1
PGRMC2,1
PHB1,1
PI16,1
PIGR,1
PIK3IP1,1
PIP,1
PIP4K2A,1
PITHD1,1
PKHD1L1,1
PKM,1
PKP1,1
PLEC,1
PLEK,1
PLEKHO2,1
PLG,1
PLIN1,1
PLIN3,1
PLP2,1
PLTP,1
PLXDC1,1
PLXDC2,1
PLXNB1,1
PLXNB2,1
PMEL,1
PNP,1
PNPLA8,1
PODXL,1
POF1B,1
PON1,1
PON3,1
POSTN,1
PPBP,1
PPIA;cRAP-PPIA,1
PPIB,1
PPIF,1
PPM1A,1
PPP1CA,1
PPP1CB,1
PPP1R12A,1
PPP2CA;PPP2CB,1
PPP2R1A,1
PRAP1,1
PRDX1;cRAP-PRDX1,1
PRDX2,1
PRDX3,1
PRDX4,1
PRDX5,1
PRDX6,1
PRG2,1
PRG3,1
PRG4,1
PRKAR1A,1
PRKAR2B,1
PRKCB,1
PRKCSH,1
PROC,1
PROCR,1
PROS1,1
PROZ,1
PRSS1,1
PRSS2,1
PRSS3,1
PRUNE1,1
PSAP,1
PSMA1,1
PSMA2,1
PSMA3,1
PSMA4,1
PSMA5,1
PSMA6,1
PSMA7,1
PSMB1,1
PSMB10,1
PSMB2,1
PSMB3,1
PSMB4,1
PSMB5,1
PSMB6,1
PSMB7,1
PSMB8,1
PSMB9,1
PSMC2,1
PSMC3,1
PSMC4,1
PSMC5,1
PSMC6,1
PSMD13,1
PSMD4,1
PSMD5,1
PSMD7,1
PSMD8,1
PSME1,1
PSTPIP2,1
PTGDS,1
PTGES3,1
PTMA,1
PTMS,1
PTPRB,1
PTPRC,1
PTPRF,1
PTPRG,1
PTPRJ,1
PTPRZ1,1
PTTG1IP,1
PTX3,1
PURA,1
PURB,1
PYGB,1
PYGL,1
PZP,1
QSOX1,1
RAB10,1
RAB11B,1
RAB14,1
RAB18,1
RAB1A,1
RAB1B,1
RAB21,1
RAB27B,1
RAB2A,1
RAB32,1
RAB37,1
RAB5C,1
RAB6A,1
RAB6B,1
RAB7A,1
RAB8A,1
RAC2,1
RALA,1
RALB,1
RAN,1
RANBP1,1
RAP1A,1
RAP1B,1
RAP1GAP2,1
RAP2B,1
RARRES2,1
RASGRP2,1
RBP4;cRAP-RBP4,1
RELN,1
RHEB,1
RHOA,1
RHOC,1
RHOG,1
RILPL2,1
RNF11,1
RNH1,1
ROCK2,1
RP2,1
RPLP0,1
RPLP2,1
RPS27A;UBA52;UBB;UBC;cRAP-RPS27A,1
RSU1,1
RTN4RL2,1
RUVBL1,1
RUVBL2,1
S100A4,1
S100A6,1
S100A7,1
S100A8,1
S100A9,1
SAA1,1
SAA2,1
SAA4,1
SAR1A,1
SCRN1,1
SDC1,1
SDC4,1
SDCBP,1
SDF4,1
SEC22B,1
SELENOF,1
SELENOP,1
SELL,1
SELP,1
SELPLG,1
SEPTIN11,1
SEPTIN2,1
SEPTIN7,1
SERPINA1,1
SERPINA10,1
SERPINA11,1
SERPINA3,1
SERPINA4,1
SERPINA5,1
SERPINA6,1
SERPINA7,1
SERPINB1,1
SERPINB12,1
SERPINB3,1
SERPINB6,1
SERPINC1;cRAP-SERPINC1,1
SERPIND1,1
SERPINE1,1
SERPINF1,1
SERPINF2,1
SERPING1,1
SERPINI1,1
SEZ6L,1
SEZ6L2,1
SFTPB,1
SGTA,1
SH3BGRL3,1
SH3GL1,1
SHBG,1
SHROOM3,1
SKAP2,1
SKP1,1
SLC2A1,1
SLC2A14;SLC2A3,1
SLC35A4,1
SLC3A2,1
SLC4A1,1
SLF1,1
SNAP23,1
SNAPIN,1
SNCA,1
SNED1,1
SNX2,1
SOD2,1
SOD3,1
SORL1,1
SPARC,1
SPARCL1,1
SPN,1
SPON1,1
SPP1,1
SPP2,1
SPTA1,1
SPTB,1
SPTBN1,1
SRC,1
SRGN,1
SSBP1,1
SSR4,1
ST13,1
ST3GAL6,1
ST8SIA4,1
STIM1,1
STK24,1
STK4,1
STOM,1
STON2,1
STRAP,1
STX11,1
STX12,1
STX4,1
STX7,1
STXBP2,1
SULT1A1,1
SUMO2,1
SUSD1,1
SUSD5,1
SVEP1,1
SYTL4,1
TAGLN2,1
TALDO1,1
TCP1,1
TFPI,1
TFRC,1
TGFB1,1
TGFBI,1
TGFBR3,1
TGM1,1
TGM3,1
TGOLN2,1
THBS1,1
THBS2,1
THBS3,1
THBS4,1
TICAM2;TMED7,1
TIMD4,1
TIMP1,1
TJP2,1
TKT,1
TLN1,1
TMED10,1
TMED8,1
TMED9,1
TMEM40,1
TMOD3,1
TMSB4X,1
TMX1,1
TNC,1
TNXB,1
TOLLIP,1
TPI1,1
TPM1,1
TPM2,1
TPM3,1
TPM4,1
TPP1,1
TREML1,1
TRIM58,1
TSKU,1
TSPAN9,1
TTR,1
TUBA1A,1
TUBA1C,1
TUBA4A,1
TUBA8,1
TUBB,1
TUBB1,1
TUBB4B,1
TWSG1,1
TXN;cRAP-TXN,1
TXNDC15,1
TXNDC5,1
TXNL1,1
TYMP,1
UBA1,1
UBA7,1
UBE2H,1
UBE2N,1
UBE2O,1
UGP2,1
UQCRB,1
UQCRC1,1
UQCRC2,1
USP15,1
USP47,1
USP5,1
UTS2,1
VAMP3,1
VAMP7,1
VAMP8,1
VAPA,1
VAPB,1
VASN,1
VASP,1
VBP1,1
VCAM1,1
VCAN,1
VCL,1
VCP,1
VDAC1,1
VDAC2,1
VDAC3,1
VIM,1
VPS29,1
VPS4A,1
VPS4B,1
VSIG4,1
VTA1,1
VTN,1
VWF,1
WAS,1
WASF2,1
WDR1,1
WDR44,1
WDR77,1
WIPF1,1
XP32,1
YWHAB,1
YWHAE,1
YWHAG,1
YWHAH,1
YWHAQ,1
YWHAZ,1
ZG16B,1
ZYX,1
cRAP-ALB,1
cRAP-CSN1S1,1
cRAP-CSN1S2,1
cRAP-CSN2,1
cRAP-CSN3,1
cRAP-KRT15,1
cRAP-TF,1
,1
