Genes,S001,S002,S003,S004,S060,S007,S062,S010,S011,S021,S012,S013,S063,S014,S015,S023,S017,S064,S018,S019,S026,S020,S022,S024,S025,S030,S053,S032,S033,S067,S034,S036,S068,S038,S039,S041,S069,S043,S045,S070,S047,S092,S048,S049,S071,S050,S054,S055,S057,S094,S073,S074,S096,S075,S085,S086,S088,S089,S072,S082,S035,S078,S077,S029,S079,S061,S066,S031,S052,S076,S083,S090
AASDHPPT,7.63643336248964,8.18488891385572,8.33864804230939,7.34276113734812,7.43521467808065,,7.99877166950695,,7.71078735810612,7.96129636703994,7.95017484020629,7.97397288564708,7.69259848136216,7.72476273409805,7.81140244870643,8.02664720136967,7.50976888299565,7.85955405536879,7.60751484166327,8.1303950249383,8.84289980240677,7.85685548561459,7.4943807126787,7.31168658000182,7.82193436862338,7.79757448200664,6.43615371653936,6.83007286553747,6.63819444686052,,7.6494346391198,7.80023835841199,8.29014664646374,7.91604164878807,6.56979594883006,7.70599777806565,8.45867453940712,8.00935601674809,8.03892232266107,7.69811577122788,8.02507449131138,7.84523263350969,6.95302036037547,,8.25530227153526,7.8468458960607,7.98525001205258,7.2911520990472,7.19168392218666,,7.66541070298492,7.86443539552054,8.66390048595698,6.72578078975578,7.74746062840049,7.50965512877738,7.71492706382891,7.41158872638644,8.17182255058694,,7.89198178589773,,7.94060713556751,8.18753180276287,,7.95458047101882,8.53603848280543,8.18538210582181,8.1129249844594,8.10318424267334,7.36765683912955,7.92347632893955
AASS,8.33861842119391,8.06669587285278,7.99214414134334,8.34391300990416,8.70627131168919,7.98762978296893,7.90190533204198,,8.25145881623188,8.60484332573406,8.49873064377438,8.11259126311289,8.44285251503149,7.4586922089775,8.66896971022212,8.24796457628426,8.29703849572553,8.55037181087859,7.96346890165827,9.11108866107699,9.04482620529665,7.62418700233263,8.63185133156037,7.62571294707164,8.58032314268725,7.21553269374189,7.92571446098793,,7.76039557409971,,8.00778060875812,8.41481844949768,8.99115959442172,8.55770669158471,7.8426000893529,9.36361238429212,8.69087037557481,8.68957166159441,8.30219734997419,8.80763100868681,8.38034473424019,8.74519292180124,8.00253075570531,8.17943113247872,9.24489746945874,8.00285719245635,8.86680353621363,8.10812560593218,8.44440376711361,8.29583972516292,8.47973343464919,8.31751526033693,8.22994253942154,7.10794572954501,7.78511729937863,8.51949410083093,8.32871496101774,8.46113195326858,9.16195969116558,7.60886945265999,9.14970184271311,,9.00785015324079,8.87163764511894,,8.70853903370038,9.06952727425797,8.83162172355506,8.59847510759792,8.79455036713716,7.81980930706368,
ABAT,8.07231359489744,7.50709765473346,8.17596956369154,7.63681411130166,7.64502205442961,7.44626438613513,7.67904314742599,7.60378311505902,7.95524546233402,8.95180283101752,7.93352883570489,8.4898945782945,7.46239031495293,7.37892792294706,8.38495786557826,8.1709169765568,8.37428387024287,8.01225931289089,7.85870691941862,8.63924438368049,9.02071200853765,7.7392410302096,7.73180998833303,7.60773686291794,8.21247511777054,7.65160855465048,8.19683024585732,,7.26528563532819,8.28900160763639,7.62394343964158,8.12248820951559,9.12274648602352,8.59481383587789,7.65712695027013,8.63624200584444,8.78566363895077,9.05379740677535,8.05241386135068,7.77636027576625,8.63543438492036,8.40812040249077,,7.55597019847669,9.38831524695408,7.9580455627226,8.98269427236042,,7.39429477705839,,7.92864231054002,8.2366070791607,8.19581617248803,7.41879722947016,8.13887516182963,8.50968155884037,8.06228180205685,7.86008915005504,9.90709222375277,7.43766825142825,8.3902737554655,,9.04220536624125,8.31497209613019,,8.07929180483045,9.07588567278698,8.59890725788877,8.35683616999214,10.3438430200392,7.85767900147124,8.56806155818667
ABCA6,,,7.82595840716725,6.69713520936291,7.95163226086221,7.53940954511973,,,8.91920434831133,8.23870634452101,8.35000309383682,7.71476185364464,8.21602929746423,,8.76479242504495,8.10072466938237,8.20876035803737,6.4872446847886,7.66615401220839,9.00211651237522,8.02238333279609,7.68575801434916,7.97056301779949,7.68590161471401,6.89720524274955,7.7431770045774,,,6.97688377754648,,8.04909927458086,8.05907071654238,7.88079556276733,8.49022332445872,7.88870800486262,8.32414433410589,8.24955635571842,,8.27753170390719,8.47731840790147,8.86023550082148,8.21685306423324,8.30919952603066,,7.77587289130427,7.87546001666143,8.59090567158433,8.33495108775115,8.05272791699149,,7.54539404573052,8.67242525120991,8.78677118953731,7.69028411256115,,8.18483045595689,7.82144577528646,7.59085288766624,8.99840662644285,8.36840462495966,7.84494778077036,,7.82221858097959,8.39896982654913,,8.72151584800719,7.91455842021048,8.95707954321841,7.7807583953445,8.6863888864225,7.66206910127474,8.27656074282866
ABCA8,,6.75871840856016,9.62624682097143,8.10186115162878,9.01501365561122,8.04860469974668,,,9.54204433099937,8.318968300838,8.85454670650143,8.87801505413067,9.91348865575313,6.77437912093488,9.54333936051432,8.91465196900193,8.95652394340966,6.33326470760068,8.99796190613951,11.6018939470129,9.6860365110763,7.53387216975393,9.19657250729805,8.08212439684581,6.47296965600563,9.05729769802758,7.42818092078746,,8.66602046454421,,8.26348619295228,8.24346707309603,8.98003015386149,9.17266326706538,8.5588464401866,9.31423348599055,10.432298061669,7.65657670346604,9.03038397476665,8.96987235582167,10.4317108447492,8.89187567995557,9.27309638518237,6.6574285944648,10.3339488848974,7.91005107139625,9.86769903745774,9.23779923117354,8.13522242387787,,8.12974104698924,8.24012256015276,6.96526899224766,9.05997926345525,8.43552083701396,9.02957923635032,7.26322317063899,7.2782021551686,11.7794680937704,8.94340412238679,9.99917343160441,,8.48960099589625,8.58221083722367,,9.40444663535786,9.52497844117654,10.0806176495021,7.14745741577274,11.0972486163539,,8.3781343209465
ABCB10,8.32310155304209,8.80260664837231,8.49367527136855,8.58805617036013,8.64623061970332,8.57029313314021,9.15911522320539,8.66273263233241,8.96304812494602,9.13749413401037,9.14449526713297,7.93731211795454,8.277126457255,8.7691594975711,9.11320264265368,8.3811367733706,9.40020866363567,8.69895183693818,8.36548115997086,9.32405134329542,8.82662335043521,8.87346412431881,8.77618673468614,8.79899110947871,10.3242955847112,7.59798742009357,6.44263300344958,6.83075023781812,7.17098738936722,8.15204151301691,8.72113492017647,8.99120025335531,9.22026383703161,8.62241439609916,8.48169353115477,9.18388070678331,9.02125991324536,8.65759091767297,8.89219395109452,8.69695790140821,8.54372399393988,9.23484327710486,8.42198132107271,9.1462368006268,8.63473204917481,9.48486597562273,8.98457931589105,8.59919159579129,8.22172432813662,7.8454205967257,9.21391689758963,7.89627881025885,8.44084516294647,7.09206445240073,8.51569434059479,8.58059574842387,8.16880074135258,8.19131116349599,9.21346758021102,7.83900299013802,8.70110584602528,7.84527708951389,8.50545024516036,9.28285468947599,7.32058299685545,9.13274728896734,8.64417236523557,9.48311601082798,9.52650607431662,8.411632812435,8.92231427665414,6.62969190109276
ABCB6,7.97068695338915,8.6562887230107,9.00761361257765,8.90026573952455,8.63203971344838,8.99679739546956,9.12750778703027,8.60753601704247,8.82213278998984,9.16644357105677,9.28989816172636,8.81242888872136,8.74398365950251,8.88106417670771,9.28458056589029,8.56679674382381,9.09089039098977,8.36184491791157,9.12206472618997,8.49986557890727,8.38796878488293,8.29600829127162,9.04018071097967,8.96652427710441,8.87227889267167,9.39698914181247,7.62228464936455,7.6452434907255,8.65232831293148,8.34994083283581,8.61622675727907,8.58343239297062,8.01976172648311,8.9085824146884,8.82860478521644,8.65434326620823,9.33081417607051,8.44732777407643,8.72893728794517,9.59408822406514,8.94705364728564,8.11186277852728,8.91034400530141,8.51942978357516,8.34066510519697,8.39722980602397,8.76787269642265,8.99281338641532,9.10886140072425,7.99516505166377,8.77053522924328,7.95873820996717,9.16669695970041,8.76825918583292,8.78070954263392,8.95583628259245,8.8795083341734,9.22449476245006,9.03659930530173,9.16046907437445,8.84451685466815,8.15678607393001,8.81157249112076,9.11059338017832,8.44903222094037,8.69158900695293,8.38492960435599,9.0566009157981,8.295267750554,9.05302125919842,8.85682803333305,8.69673630309282
ABCB7,8.20076561291892,8.40598085166853,8.22601029578271,8.21383828440702,8.29173285348732,8.17923385255811,8.49986818481866,8.29081404652562,8.48571533162112,9.12290573606984,8.8055284717046,7.96900650734269,7.70409645780253,8.33289249701728,8.90632082260016,8.11331571775235,8.1969957133629,8.6247575999352,7.50318892067227,8.86898998910865,8.77441497023314,8.57599323049685,8.21617909236506,8.35038860073595,9.106026274065,7.17663640454908,7.9433767778081,6.74325499201018,7.27452440546142,7.51981017824936,8.42061597343816,8.63570011067022,9.14299032118147,8.39975260281412,7.67221295399189,9.1744055276391,8.60678631734593,8.83756462921902,8.47514161360621,8.78871411723956,8.41113733360997,8.47788737349719,8.16303583314567,7.56966497255266,8.67655501498599,8.70503338561054,8.6496568335793,8.16154005367701,7.43785053071561,8.52340958594526,8.69221283522535,8.19067606752657,8.63208555284551,7.24755019892821,8.38444066172619,8.79531895987576,8.18106043177225,8.67588919377345,9.15075725178789,8.60896407232219,8.70139909125971,8.21705417650085,8.93665132860727,9.02012668512149,7.42517661607528,8.84818032499779,8.73559365777242,9.22756360953746,9.15080399421875,8.88492356201995,8.67013786295388,7.86732742583532
ABCC1,8.66355927632791,8.53686825430148,8.58611213004983,8.39909748630024,8.15656060943183,7.93807603853345,8.64730874789076,8.33110321060825,8.45201529487905,8.74632564877427,8.68566354981543,8.60567582419933,7.66806488601082,7.9740090391783,8.61639988721554,8.3222754893373,8.21433294787433,8.83142701420657,7.76046645422107,8.73677463831022,8.99907239376266,8.40493255704608,8.10305282825611,8.27486057405149,8.68485701229506,8.13019954478574,8.15257676152091,7.72591543852359,,7.89942103113202,8.28282833609536,8.39349701490322,8.61754583156567,8.25855022847172,7.51554924854476,8.85235534057389,8.89495067746592,9.30792727755131,8.19739845068536,8.35056316281414,8.22439047780383,8.32296788685413,7.95171330569935,7.97231518390923,8.98564513914534,8.5496512384668,8.50323277846066,7.93773750545222,7.91544046400958,8.22474539934652,8.12272065000378,8.23002595072944,8.38720153171938,7.54270104885406,8.31104496146674,8.49813034390586,8.43989617689092,8.37832754367778,8.43290602742749,7.73826952877899,8.72963373709869,7.65862569679241,9.06190915042591,8.97909074404305,8.07050477321818,9.04617290961018,9.07697844452037,8.76475691281855,8.69274850504764,8.39936518245937,8.23866702867338,8.00299538420317
ABCC4,7.37698587240117,7.69384197651996,8.15807154902776,8.17200949827772,7.98068114631075,7.88749783262694,8.5331068559188,8.30167690009571,8.30511659281389,8.50136006393419,8.91439490570528,7.91174954772713,7.20253253921678,8.25836818793269,8.57911393109325,7.90641889512791,8.45956495737793,7.8777146394551,8.08504535444256,7.64224652967106,7.81670245594228,7.74636560361491,7.92431542717277,8.35333124222582,8.42658518837044,8.74799737874105,,6.66107869953426,7.8317754917399,8.7722631169771,7.85520370700646,7.75470185325488,7.47213278541733,7.94653555235355,7.99190780190205,7.91720373810937,8.74961930131765,6.98853571442675,8.08544096135381,9.05326985837044,8.20408633887943,7.8634248953195,7.88631652444025,7.88891557309664,7.4345583427895,7.97916403444784,7.64194364125671,7.70446331827091,7.87228549470344,,7.66350432284867,7.46552241367558,8.08804155169464,8.02409493699661,8.48263690355032,8.66156391964156,8.05872107565029,8.57237367737554,8.13780289716399,8.18856210729941,7.8006080199076,7.41608985049665,7.85260704213041,8.83211338244585,8.03600273765255,8.08441588450298,7.51893190615696,8.83411351973736,8.40903908217552,8.00617485018003,7.98666469631964,8.02659867954327
