Model,Pathway,Embedding,N,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_22,52,-0.0990859687589274,0.4846316634126922,-0.15854179117220185,0.2616127735342676
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_23,52,-0.03159801071509307,0.8240235314483161,0.025783317681208916,0.8560249276078951
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_24,52,0.22951539640204957,0.10168109611731821,0.20472978741569195,0.1454171988017563
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_25,52,0.19526181080000263,0.1653750170520118,0.1824468539229915,0.19547279909814602
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_26,52,0.10913204291188497,0.44121893120905226,0.018867924528301886,0.8943809450609499
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_27,52,0.07836245216183331,0.5808158264432483,0.17194570135746606,0.22288994969252707
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_28,52,0.3120698722192345,0.024307349731924728,0.2959105267651327,0.03317787365916917
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_29,52,-0.22801294519658175,0.1040027366669014,-0.1950823870912661,0.1657716025816501
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_30,52,-0.3445580731852075,0.012371723872618045,-0.35814906514129596,0.009134630961163296
Orthogonal,REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,embedding_31,52,-0.05044536666078949,0.7224771048169183,-0.08272859216255442,0.5598506299720983
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_0,52,0.06066121309118125,0.6692377187440582,0.03193033381712627,0.8222026050887895
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_1,52,-0.24495642262771483,0.08007689431661139,-0.17057969777170667,0.22664326462070314
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_2,52,0.026759697129569538,0.8506338552551799,0.031247332024246566,0.8259460314693221
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_3,52,0.01445260536500013,0.9190019424712316,0.016562793477332877,0.9072241431461094
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_4,52,-0.3239550104447694,0.019136873026636664,-0.37197985144711004,0.0066201371505504964
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_5,52,0.1637326901825456,0.2461142972214182,0.11482967642790061,0.4175919793314443
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_6,52,-0.013975803887336468,0.9216656406019126,-0.028942200973277554,0.8386079796704035
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_7,52,-0.08188292151446817,0.5638834234604405,-0.05105438401775804,0.7192634194042817
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_8,52,0.06043695121426086,0.6703904444345208,0.07632545035430717,0.5907173856719592
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_9,52,-0.13066347193502267,0.3558562331577425,-0.060701784342183894,0.669029259568283
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_10,52,0.09626900577305382,0.49719509289039976,0.17843421838982326,0.2056512432478854
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_11,52,-0.00012338405647281496,0.9993073517721632,-0.056518398360795696,0.690651588714529
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_12,52,0.002380029126009084,0.9866396963905892,0.055664646119696064,0.695095237067627
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_13,52,-0.14639176732840492,0.30039982587154723,-0.17314095449500555,0.2196413661377263
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_14,52,-0.26318711553233465,0.05941389101763866,-0.332621873132417,0.015982929880822068
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_15,52,0.16575172657105752,0.24025821317805227,0.1727140783744557,0.2207977701599814
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_16,52,-0.18396393708682265,0.19171947211578474,-0.2197558268590455,0.11749779510783587
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_17,52,0.1636586574457149,0.24633085204305333,0.11073166567062237,0.43451174901118716
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_18,52,-0.04319790901252254,0.761071399049785,-0.05284726372406727,0.7098307695368349
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_19,52,0.22178575549222973,0.11406281614552985,0.19636301545291554,0.16295614538417982
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_20,52,0.0283490422302701,0.841872865456432,-0.0043541364296081275,0.975560635776769
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_21,52,0.023877885583570357,0.8665643238098597,0.024588064543669422,0.8626333649246322
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_22,52,0.014494952828825068,0.9187654063995039,-0.023734312302569796,0.8673594180374762
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_23,52,-0.03787831603536519,0.7897770015225546,-0.013745411081704089,0.9229530597632585
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_24,52,-0.08613148753137878,0.5437616194512572,-0.11781780927174933,0.40549571992767075
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_25,52,0.024703822447734107,0.8619929355409544,0.008196021514556475,0.9540142279604464
Orthogonal,REACTOME_ECM_PROTEOGLYCANS,embedding_26,52,0.1689189214499611,0.23126510359925218,0.15990779475796124,0.25747232599175607
