Genes,Sample 60,Sample 65,Sample 18,Sample 59,Sample 42,Sample 30,Sample 31,Sample 77,Sample 32,Sample 7,Sample 55,Sample 76,Sample 28,Sample 72,Sample 88,Sample 11,Sample 64,Sample 25,Sample 78,Sample 83,Sample 70,Sample 90,Sample 45,Sample 85,Sample 17,Sample 22,Sample 57,Sample 66,Sample 38,Sample 82,Sample 39,Sample 61,Sample 16,Sample 23,Sample 24,Sample 87,Sample 73,Sample 15,Sample 49,Sample 75,Sample 79,Sample 34,Sample 1,Sample 36,Sample 29,Sample 5,Sample 86,Sample 52,Sample 12,Sample 20,Sample 51,Sample 48
CAMK2G,9.2708257028135,9.28892689987809,8.95506022958005,8.60356223801821,8.55153934846242,8.26282368852063,8.9719100447863,11.5661125239504,7.17123172023439,7.52863655708446,8.77062324442475,9.50608227813732,11.5026204776105,9.93321604293695,8.04410549392396,8.86596336464675,10.5494148107899,8.81314810732754,,8.4443715947088,8.43240271352894,8.96913468216058,8.25992699772715,8.20152511620143,8.8104332473142,10.0234616168832,8.01947912552023,11.0943185393427,9.96169310087228,8.19317957663773,7.80034704529717,8.94214133076611,6.93541020036677,8.69264385573528,7.86470387890507,6.54952102122858,8.34014396096696,8.96883721097407,7.96344698750305,8.6246094074534,,8.14159794003705,9.97426854748044,8.13414721414287,8.86250256013154,5.98063755709676,8.23169271848663,9.10822915798084,8.88112046580204,9.42692224655248,8.65699268467989,8.35367155532555
CAMKK2,8.50783710289338,8.56740281551691,8.52278486432693,,8.03849970359166,,8.78273639404986,9.35040017148821,,8.39602611766583,8.5297997262922,9.13814772139924,8.74566997356137,9.02470119520494,8.51093757916476,8.37631677316822,8.415824959614,9.05706123498706,,8.79588084402343,8.14691572995967,,8.08384190440721,8.57042970152519,8.56771464898119,8.84151980590145,8.64630598106429,9.07008986327905,8.55673079612862,,7.9397037271274,8.75027630127938,,,,,8.12724932630613,8.57739688418485,,8.01480999430683,,,8.24187432010405,8.24641421253555,8.78314364691443,,8.86749160840638,8.67418037877827,8.53907118089403,8.29088547473043,8.12674795188393,8.50827863096786
CAMP,11.6919032894621,11.35960080911,11.9792166941314,11.1559385148789,8.88023173143225,10.8168206503426,10.6000458123451,8.81018951623023,10.2243005829208,12.3474766218461,11.178978321822,11.0850645969401,10.8233011266147,11.3699228590339,11.1321820604832,9.8761476829289,9.53509528903824,12.4996107235338,10.0844318405741,9.72266616899101,8.92032626285706,10.3553536156601,10.9344795799335,10.8426843985115,11.2782522404762,13.0115027692321,12.5817317430211,8.09596975286642,9.86694196812317,10.1561955207785,10.7137407983695,10.0623923574931,10.4077693854764,10.9763145925161,10.5064681735841,10.2126779759918,12.2807523896977,10.1885823614179,9.63779854387416,9.13433219178845,7.64459823929373,10.1653674202956,9.20637809019575,10.3713439734147,8.06456242160396,10.2234641008694,10.5663883412977,9.18870136161673,10.3912055285523,10.210381892926,11.2351610404947,10.8589137767748
CAMSAP1,7.44337465961207,7.65817935630261,,,,,8.69612792189578,8.38615594377555,,,7.28560235818171,8.25128973282837,7.70657552505367,8.76006924300441,7.79805626676904,7.72084659514061,8.14693030697479,7.84119718544362,,8.29569149718817,,8.82087231093664,7.5103265810646,7.82950128457199,7.67835639296303,7.477662103956,,8.21137365206513,8.19790913021805,,,8.39222381229271,,7.94263799330354,7.01878791723748,,,7.92890673896711,,,,7.37780675126781,,,8.4396924364104,,8.17069736661293,8.14420808472976,8.266855559913,7.54626531772929,7.55652322114015,
CAMSAP2,,7.25844171772194,,,7.78472119370858,,7.67834318129162,7.85984716551963,,,,8.04219124388484,7.44282889914498,7.93061559757308,7.16207724916045,7.68862900712342,7.47752772494929,7.61274668158551,,7.81047009231613,7.31504637902701,7.6386940771906,,,7.51176136697335,,,8.12493076740642,7.51598826836438,,,7.58149918813885,,7.77887218230476,,,,7.51801301223444,7.28927727800782,,,,7.33655227781269,,7.75073894640626,,7.66148864843765,7.63828783421146,7.6331781141902,7.11711921680024,7.79150984169959,
CAND1,9.45608331622862,9.80598441639729,9.4728945972288,9.40598744355585,10.2040294763446,10.3292234427099,10.3728687383587,10.3520437922318,8.67672767836226,9.55606323613188,9.65443584538658,10.077807616581,9.874790363495,9.92861446183781,10.0249629369409,10.1714294735765,10.1771415270081,9.70215080237648,9.13317038306402,9.99123117334708,10.3881585478652,8.38077354807161,9.5463993838912,9.7705997905216,9.9661470161634,9.52313176153574,9.23754483922363,10.5951068873278,9.76857414430746,9.1342725300182,9.46692377839664,9.93783349918598,8.26949828699669,10.0844788311925,9.67149601742969,8.1808283627478,9.29964198071622,10.4594949317695,9.62425870912805,9.90934965214617,9.52654293883611,9.47621341555545,9.94397209410598,9.92500646648424,10.656869214544,8.87805015779382,9.72902166457414,10.549853666902,10.3985982861129,9.94868019271966,10.1006666289886,9.57743804514379
CAND2,8.3945478286159,8.69464661969277,7.95938538045189,8.56376639680959,8.67104110800978,7.36999812980651,8.69902557911159,9.87919494469907,,,8.27672908775273,8.96994036251138,9.27992916169399,9.17317086679262,7.10169915517723,8.56431369414278,9.45022044902782,7.78392201072151,,,8.0235805750026,,7.92249331285532,8.11422918250772,8.01414513089744,8.78246895053035,,9.69197758546757,8.78977436527714,8.34431337304894,,8.31924596992877,,8.12133901638043,,,,8.46950027646087,,8.25468630808332,,,9.08328254770374,7.68801190144955,8.07248790617884,,7.49662972547739,8.50484653427563,8.15831090104357,8.928599389252,8.10565116934452,
CANT1,,7.86611935905471,,,8.2735393443814,8.02248294810803,8.4264545788797,7.3436051629471,,,,8.31125661410394,7.55067765292365,7.82604062799825,,7.88879901811357,,9.16434614879478,,7.87999212942145,7.70635555118412,,7.97796914780798,,7.68293687261661,7.81264208786469,,7.21495422609136,7.7561842903042,,,7.95998817568564,,,7.72378715662379,,8.16092520420532,8.18434241501085,7.47882398028675,,,8.11502127058004,7.94742781016712,8.23126040585444,8.84641976812119,,8.17078448677808,8.39432674984618,8.24260238423766,7.9499837620399,8.14338820283399,
CANX,10.3512181506487,10.8393557060027,9.9262212507776,9.57205850971781,10.9017322220826,9.74849094190177,11.5355917287726,10.9757928725467,9.05655134577909,9.98031429797225,9.82962377643226,10.8367630365501,10.7900333865923,11.0000490035363,10.4542677921125,10.7232604326366,11.0854239276268,11.6692510447342,10.2483730942628,11.0894235405294,10.5097991421662,9.67685035265198,10.4397178731835,10.3426999168687,10.7878018975712,10.4809695143078,10.2788662491028,11.0092120897706,10.6370749400869,9.52024065606121,9.54799633210008,11.186463793746,8.8302539392554,10.3593222603105,10.3731206546596,8.53560533377417,10.8223047283735,11.1666142381381,9.91942638186778,9.40947721985429,9.50354026882807,10.4785688271395,10.7864257795826,11.0456360947147,11.5134115762678,7.55875118711111,11.0999867141102,11.6188568541017,11.0313606041303,10.4407028446323,10.8812724123805,10.0298883155345
CAP1,10.3956695697996,10.6243098178058,10.4478103244154,10.4459325739564,10.8789767106902,9.87349903242955,11.2756463106616,11.4422814614677,9.48203064956716,9.87042797913343,9.96688595288482,10.9667963953847,11.2159416021243,10.7808701056266,10.8260491858512,10.9772208631275,11.7413112749567,11.243378854021,10.2783905814537,11.5109377668801,10.1440171906799,9.84312327049731,10.2278842518947,10.6252622762401,10.9670080440816,10.7895507358806,10.1904484530963,11.7675088851233,10.2878555396811,10.3769081427634,9.47478166686147,11.190095984296,9.54347976971609,10.9257868199326,10.2587683800329,8.91653411045407,11.2720622084624,11.2846261444659,9.95168154337783,9.83197495422792,9.88464020432725,10.7099135501645,11.5584697408651,11.0026850859988,11.2092909897267,9.41721689795068,10.5358460433896,12.1389298518907,11.1030386662356,11.1318368207645,11.4292715469796,9.80884448918638
CAP2,9.82782667960813,9.72796219348339,9.4709278490574,8.71966871263059,9.04579550248645,8.62532117020388,8.72021486259217,11.2681737964001,7.85597662078123,7.56028852765524,9.66282515940132,9.37493463499583,11.1892940600141,10.1147817281279,9.42304545023626,9.23867589258968,11.1564440304761,8.79501483060332,,9.18233165404818,8.79874990511961,8.00380765614891,8.6597301075631,8.36833167434747,8.63986458855756,10.3968078476572,8.15363214667685,11.6215849946655,9.97225014350459,9.19278813061837,7.38943730165574,9.20732625774246,6.73178281268876,9.78984093981072,8.06787079132412,,8.89635710200969,9.43602320526971,7.82460030206424,9.31753121334285,7.00099568995311,8.65856516537551,11.0392835994748,8.07665515797002,9.3533252340792,6.84229074586244,9.22441752697865,10.1818964142846,9.58602449734662,10.2351822193267,9.06947144083557,8.60946139670881
