,,count,count,count
cohort,,0,1,2
protein,missing_status,,,
383,1,0,0,0
384,0,46,20,15
384,1,0,0,0
385,0,46,20,15
385,1,0,0,0
386,0,41,19,14
386,1,5,1,1
387,0,29,16,9
387,1,17,4,6
388,0,46,20,15
388,1,0,0,0
389,0,46,20,15
389,1,0,0,0
390,0,46,20,15
390,1,0,0,0
391,0,46,20,15
391,1,0,0,0
392,0,46,20,15
392,1,0,0,0
393,0,46,20,15
393,1,0,0,0
394,0,39,19,14
394,1,7,1,1
395,0,46,20,15
395,1,0,0,0
396,0,46,20,15
396,1,0,0,0
397,0,46,20,15
397,1,0,0,0
398,0,45,19,13
398,1,1,1,2
399,0,44,20,15
399,1,2,0,0
400,0,40,20,12
400,1,6,0,3
401,0,43,18,10
401,1,3,2,5
402,0,46,19,14
402,1,0,1,1
403,0,46,20,15
403,1,0,0,0
404,0,38,20,9
404,1,8,0,6
405,0,46,20,15
405,1,0,0,0
406,0,46,20,15
406,1,0,0,0
407,0,33,18,6
407,1,13,2,9
408,0,46,20,15
408,1,0,0,0
409,0,46,20,15
409,1,0,0,0
410,0,41,18,12
410,1,5,2,3
411,0,32,16,7
411,1,14,4,8
412,0,46,20,15
412,1,0,0,0
413,0,44,20,15
413,1,2,0,0
414,0,46,20,15
414,1,0,0,0
415,0,45,20,15
415,1,1,0,0
416,0,45,19,15
416,1,1,1,0
417,0,43,18,13
417,1,3,2,2
418,0,46,20,15
418,1,0,0,0
419,0,46,20,15
419,1,0,0,0
420,0,46,20,15
420,1,0,0,0
421,0,46,20,15
421,1,0,0,0
422,0,46,20,15
422,1,0,0,0
423,0,46,20,15
423,1,0,0,0
424,0,46,20,15
424,1,0,0,0
425,0,45,20,15
425,1,1,0,0
426,0,46,20,15
426,1,0,0,0
427,0,43,20,12
427,1,3,0,3
428,0,46,20,15
428,1,0,0,0
429,0,44,19,14
429,1,2,1,1
430,0,46,20,15
430,1,0,0,0
431,0,46,20,15
431,1,0,0,0
432,0,46,20,15
432,1,0,0,0
433,0,35,18,7
433,1,11,2,8
434,0,42,15,12
434,1,4,5,3
435,0,46,20,15
435,1,0,0,0
436,0,35,19,7
436,1,11,1,8
437,0,45,20,15
437,1,1,0,0
438,0,41,19,12
438,1,5,1,3
439,0,29,15,8
439,1,17,5,7
440,0,41,19,13
440,1,5,1,2
441,0,46,20,15
441,1,0,0,0
442,0,46,20,15
442,1,0,0,0
443,0,45,20,13
443,1,1,0,2
444,0,43,20,15
444,1,3,0,0
445,0,46,20,15
445,1,0,0,0
446,0,46,20,15
446,1,0,0,0
447,0,46,20,15
447,1,0,0,0
448,0,30,17,6
448,1,16,3,9
449,0,44,20,14
449,1,2,0,1
450,0,46,20,15
450,1,0,0,0
451,0,46,20,15
451,1,0,0,0
452,0,44,19,15
452,1,2,1,0
453,0,46,20,15
453,1,0,0,0
454,0,45,19,15
454,1,1,1,0
455,0,33,16,8
455,1,13,4,7
456,0,33,19,11
456,1,13,1,4
457,0,46,20,15
457,1,0,0,0
458,0,35,18,7
458,1,11,2,8
459,0,46,20,15
459,1,0,0,0
460,0,41,20,11
460,1,5,0,4
461,0,46,20,14
461,1,0,0,1
462,0,39,20,11
462,1,7,0,4
463,0,44,18,14
463,1,2,2,1
464,0,46,20,15
464,1,0,0,0
465,0,46,19,15
465,1,0,1,0
466,0,46,20,15
466,1,0,0,0
467,0,45,20,14
467,1,1,0,1
468,0,38,20,12
468,1,8,0,3
469,0,29,12,5
469,1,17,8,10
470,0,36,16,11
470,1,10,4,4
471,0,46,20,15
471,1,0,0,0
472,0,45,19,14
472,1,1,1,1
473,0,46,20,15
473,1,0,0,0
474,0,43,20,15
474,1,3,0,0
475,0,46,20,15
475,1,0,0,0
476,0,31,20,10
476,1,15,0,5
477,0,32,17,7
477,1,14,3,8
478,0,23,16,6
478,1,23,4,9
479,0,32,17,8
479,1,14,3,7
480,0,26,14,7
480,1,20,6,8
481,0,44,19,13
481,1,2,1,2
482,0,45,20,11
482,1,1,0,4
483,0,33,17,8
483,1,13,3,7
484,0,46,20,15
484,1,0,0,0
485,0,46,20,15
485,1,0,0,0
486,0,46,20,15
486,1,0,0,0
487,0,44,20,14
487,1,2,0,1
488,0,26,18,4
488,1,20,2,11
489,0,46,20,13
489,1,0,0,2
490,0,46,20,15
490,1,0,0,0
491,0,46,20,15
491,1,0,0,0
492,0,41,18,13
492,1,5,2,2
493,0,46,20,15
493,1,0,0,0
494,0,45,20,15
494,1,1,0,0
495,0,46,20,15
495,1,0,0,0
496,0,46,20,15
496,1,0,0,0
497,0,38,18,9
497,1,8,2,6
498,0,46,20,15
498,1,0,0,0
499,0,46,20,15
499,1,0,0,0
500,0,46,20,15
500,1,0,0,0
501,0,33,18,11
501,1,13,2,4
502,0,46,20,15
502,1,0,0,0
503,0,44,20,12
503,1,2,0,3
504,0,34,19,10
504,1,12,1,5
505,0,46,20,15
505,1,0,0,0
506,0,46,20,15
506,1,0,0,0
507,0,46,20,15
507,1,0,0,0
508,0,43,18,14
508,1,3,2,1
509,0,46,20,15
509,1,0,0,0
510,0,46,20,15
510,1,0,0,0
511,0,42,20,13
511,1,4,0,2
512,0,41,18,10
512,1,5,2,5
513,0,35,18,10
513,1,11,2,5
514,0,25,18,8
514,1,21,2,7
515,0,27,11,5
515,1,19,9,10
516,0,46,20,15
516,1,0,0,0
517,0,27,13,10
517,1,19,7,5
518,0,46,20,15
518,1,0,0,0
