protein,missingness_percentage
CASC4,20.0
ECM2,0.0
PIP,0.0
FLG2,1.1764705882352942
DSC2,7.0588235294117645
ATP5F1A,5.88235294117647
MYL12A,0.0
RILPL2,10.588235294117647
PGLS,23.52941176470588
LRRC57,24.705882352941178
PCMT1,2.3529411764705883
CYB5B,14.117647058823529
CD99,0.0
GGCT,21.176470588235293
FLG,20.0
ARCN1,4.705882352941177
B4GAT1,1.1764705882352942
TIMP1,2.3529411764705883
APMAP,0.0
ORM1,0.0
CTSB,4.705882352941177
CDH6,0.0
MPP1,24.705882352941178
VASN,1.1764705882352942
ASAH1,21.176470588235293
APOC2,0.0
LCP2,1.1764705882352942
GET3,0.0
ABI3BP,0.0
EIF3J,11.76470588235294
PDGFRB,1.1764705882352942
RHOA,0.0
SNED1,4.705882352941177
LAT,14.117647058823529
CAPN2,2.3529411764705883
CHST3,22.35294117647059
CTSF,7.0588235294117645
MPIG6B,1.1764705882352942
RANBP1,18.823529411764707
PPP1R12A,12.941176470588237
C1QB,0.0
VPS29,22.35294117647059
RAB5C,1.1764705882352942
TFPI,9.411764705882353
ESYT1,9.411764705882353
SSR4,12.941176470588237
PURB,15.294117647058824
PURA,2.3529411764705883
SAA1,10.588235294117647
IGF2,1.1764705882352942
CDH11,16.470588235294116
BSG,5.88235294117647
ZYX,0.0
PEAR1,12.941176470588237
MIA3,4.705882352941177
OLFM1,1.1764705882352942
TXNDC15,3.5294117647058822
EGF,12.941176470588237
SERPINE1,1.1764705882352942
TMX1,9.411764705882353
AP2S1,11.76470588235294
COPS8,11.76470588235294
ANTXR1,16.470588235294116
MAN2A1,4.705882352941177
HBA1,0.0
KRT71,5.88235294117647
USP47,20.0
HPSE,5.88235294117647
CMIP,23.52941176470588
TREML1,5.88235294117647
CPVL,10.588235294117647
GPX3,0.0
C1QC,0.0
PPIF,5.88235294117647
HPR,0.0
DNAJB11,24.705882352941178
GDI1,20.0
PRG2,0.0
F7,0.0
C1QTNF3,0.0
COL15A1,15.294117647058824
GOT2,12.941176470588237
AKR7A2,23.52941176470588
UBE2H,18.823529411764707
HTRA1,16.470588235294116
PCDH18,0.0
RAB1B,3.5294117647058822
SUSD5,0.0
GAPDH,0.0
FSTL1,1.1764705882352942
MADCAM1,0.0
PFDN2,10.588235294117647
SELENOF,11.76470588235294
CTSS,0.0
LTBP2,12.941176470588237
LSM3,0.0
ADIPOQ,0.0
PRUNE1,23.52941176470588
GSDMA,17.647058823529413
CD82,15.294117647058824
VAMP8,4.705882352941177
CNST,14.117647058823529
ENG,4.705882352941177
VDAC2,3.5294117647058822
CSRP1,3.5294117647058822
ETF1,4.705882352941177
SPON1,14.117647058823529
HSPE1,1.1764705882352942
WDR44,24.705882352941178
EEF2,7.0588235294117645
HSD17B10,21.176470588235293
COX7A2,14.117647058823529
VPS4B,24.705882352941178
LAMP2,4.705882352941177
CTSH,24.705882352941178
COX5A,9.411764705882353
AHCYL1,10.588235294117647
PYGB,21.176470588235293
COL6A1,3.5294117647058822
PLEC,7.0588235294117645
PCDH1,3.5294117647058822
SKP1,1.1764705882352942
PLIN1,12.941176470588237
LCN1,14.117647058823529
SERPINA11,11.76470588235294
LGALS7,15.294117647058824
SRC,2.3529411764705883
TOLLIP,12.941176470588237
HRNR,0.0
FGFBP2,9.411764705882353
CAPN1,1.1764705882352942
PPM1A,3.5294117647058822
ADD1,16.470588235294116
COPS5,11.76470588235294
SPN,4.705882352941177
PSMD13,1.1764705882352942
CSK,18.823529411764707
COPB2,10.588235294117647
CDSN,20.0
CTSC,5.88235294117647
RUVBL2,20.0
FCN2,10.588235294117647
S100A7,14.117647058823529
PCDHGC3,7.0588235294117645
TGFBR3,21.176470588235293
GP5,9.411764705882353
FKBP1A,23.52941176470588
IDH1,5.88235294117647
VDAC1,3.5294117647058822
FAM162A,24.705882352941178
OIT3,0.0
EIF6,11.76470588235294
PTGES3,0.0
RTN4RL2,0.0
DMTN,7.0588235294117645
CALU,2.3529411764705883
PLP2,5.88235294117647
PRAP1,20.0
CLEC1B,21.176470588235293
LAMTOR1,9.411764705882353
LGALS3,16.470588235294116
PCBP2,3.5294117647058822
PF4,0.0
ST3GAL6,11.76470588235294
NACA,5.88235294117647
SEZ6L,10.588235294117647
ITM2B,16.470588235294116
ANP32B,15.294117647058824
CTSG,8.235294117647058
DERA,17.647058823529413
BAX,24.705882352941178
FLOT2,4.705882352941177
PPP2R1A,4.705882352941177
CD84,7.0588235294117645
GNA14,16.470588235294116
RAB18,9.411764705882353
G6PD,10.588235294117647
PAFAH1B2,21.176470588235293
GPX4,24.705882352941178
TCP1,9.411764705882353
RPLP2,0.0
PSMD8,22.35294117647059
CAPNS1,0.0
ICAM2,0.0
WDR77,16.470588235294116
ARF6,16.470588235294116
PNPLA8,9.411764705882353
ADAMTSL4,12.941176470588237
MT-CO2,1.1764705882352942
CCT7,11.76470588235294
CDH13,0.0
CNPY2,15.294117647058824
DEFA1,0.0
PDCD10,3.5294117647058822
PFDN5,5.88235294117647
SH3BGRL3,4.705882352941177
RHOC,20.0
CDH2,22.35294117647059
GNAI3,15.294117647058824
IGKV2-40,0.0
ASPN,0.0
PRSS1,7.0588235294117645
ATP5MG,3.5294117647058822
PSME1,21.176470588235293
NTRK2,4.705882352941177
VPS4A,15.294117647058824
DCTN3,2.3529411764705883
FN1,23.52941176470588
MASP1,4.705882352941177
PSMB6,0.0
NBL1,3.5294117647058822
MYCBP,14.117647058823529
RNF11,21.176470588235293
EIF5,9.411764705882353
CSTA,1.1764705882352942
IGFBP2,14.117647058823529
RRAS,23.52941176470588
NSFL1C,1.1764705882352942
