Genes,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 60,Sample 6,Sample 7,Sample 8,Sample 9,Sample 62,Sample 10,Sample 11,Sample 21,Sample 12,Sample 13,Sample 63,Sample 14,Sample 15,Sample 23,Sample 16,Sample 17,Sample 64,Sample 18,Sample 19,Sample 26,Sample 20,Sample 22,Sample 24,Sample 25,Sample 30,Sample 53,Sample 32,Sample 33,Sample 34,Sample 36,Sample 38,Sample 39,Sample 41,Sample 69,Sample 43,Sample 91,Sample 45,Sample 70,Sample 47,Sample 92,Sample 48,Sample 49,Sample 93,Sample 54,Sample 55,Sample 94,Sample 73,Sample 74,Sample 80,Sample 81,Sample 96,Sample 75,Sample 85,Sample 86,Sample 88,Sample 89,Sample 72,Sample 82,Sample 78,Sample 77,Sample 95,Sample 29,Sample 37,Sample 79,Sample 61,Sample 66,Sample 76,Sample 83,Sample 87
CAPZA1,7.88102268034044,10.7977660468849,11.1776351750354,9.86106326175691,10.9141077884105,9.95317971352718,10.7652747726851,11.1231252472874,10.9253876097452,9.85017251614995,9.74284766402413,10.845883493762,10.9191712360682,10.5054328685672,10.7216550012352,11.3583367439238,10.6741748748766,11.0704144172256,10.9163908301084,10.8036336543585,10.561938685481,10.5128672169747,8.13488370054311,10.2929021273592,9.39820060464795,9.74779483227317,10.6754600899216,9.96512723738192,10.2148421850978,10.7989737493309,9.02490777177161,8.93499040611682,8.88899154501646,8.4902083314166,8.79956188510653,8.05406190017409,8.41585143381872,8.4479857339302,9.25958222546,8.98243453550318,11.2892813146191,10.4574084205884,10.3875291176286,9.27114908176409,10.5222075288992,10.8464456231072,9.80289946457676,10.1422515511441,11.1006732086988,9.1411965694954,9.54288131333828,10.719662028189,9.53333263632799,9.39685406449204,8.55365208110093,8.14001489920457,9.61356988311531,11.2416729580277,9.61735868144218,10.6623208550573,9.00010998693205,9.88910454618995,9.22378356679871,8.43512768547798,8.03013363687059,8.88681359674507,7.6548495410433,7.33968613957191,8.43439902001187,7.18113824413995,7.07608324528103,8.37845796058143,7.47595506488518,7.30208958633187,8.50363937975063
PPP1CB,8.01034516339327,10.5829863182907,10.8903162351642,8.45101569186257,11.4468470368353,10.0590128571049,10.3784408795221,10.9415960748089,10.1170519182903,10.7346816249976,9.89959930858714,10.7825353218684,10.0304305751713,10.1524356831895,10.3888780767884,10.3238908448297,10.4781163855633,10.513478895638,10.0238493233904,11.1033367668073,9.92037469257829,9.68249072327113,7.9044231062517,9.93615906104696,8.42253465387067,9.01205417983915,9.89296692045792,9.48773660337994,10.2478627755065,11.2246468113626,9.00602661849925,9.05905434057769,8.51671355718509,8.64084497136084,8.53449827557997,6.98792856162356,7.72650994441737,8.86007963607481,8.59143888284624,9.39144142639346,10.8095884645662,8.75814266031703,9.99191811216681,9.74752892187617,9.93447009061678,10.2062926107011,9.1977045675958,10.5175722328526,10.4204953634248,8.98830616173453,8.19612226963423,10.0834638063227,9.88467056211882,8.96987870995031,7.85577485090861,7.70338517623447,9.23610283732911,10.4809930259547,8.97536738575567,10.6658606571069,8.84057251704021,9.83422657250058,8.575533521969,7.96623218165274,,6.90998587094338,7.75613011916765,6.9219527359073,6.42637111860362,6.78288031376005,,7.86069811853226,7.31890585167304,,8.21161344052441
NAP1L4,8.42778247281557,9.77784276351585,11.4172983507258,9.65765565229269,11.1593543794758,9.60051508189146,10.9495822633267,10.7542449012734,11.1562625974438,10.5003134943335,9.8966377282141,10.2902209373333,10.9787236539322,10.8503595591591,11.1608254388581,10.9025315119848,11.3699292313504,10.6630533027034,10.932493259444,10.4678030153403,10.7871600031022,10.5056371295075,8.9556011186853,10.6156342803429,9.74040735055858,9.49354180724908,10.2645632887857,10.7719732642558,10.4239984539035,11.1507001980213,9.19909969228364,9.41794964341003,8.77535017109362,8.50552404624979,8.76174661675234,7.55195985717472,8.72775284703924,8.13194703384968,8.84795628131201,8.8501309240803,9.98269356734341,10.819454345929,10.1080755129455,10.7522227852381,10.0464691436238,11.0908993068863,9.61866993524488,10.938541907146,10.9674132610316,8.5933418046155,8.74135246500753,11.2541904353192,9.13951264089618,10.2351666813323,8.72082009703239,8.4600950423813,9.10113614935676,10.3028663161644,9.65845219944438,11.0489310716883,9.35589100827845,9.2708763346548,9.46180182600328,9.65557207641034,8.67572903144957,8.87085028961066,7.41090405487201,8.21622019463082,8.42697445626213,7.97503353783173,8.13523223834136,8.68423866074713,8.05654401374944,7.68565744341682,8.64952786541871
CAPZA2,7.28230193095778,10.7777321894984,11.374836776805,9.56098160220085,11.5015525992218,10.4519182580583,10.8977696039944,11.1636066327606,10.7577726748727,10.3830543599947,9.67830083051014,10.8482489143851,10.4319302844765,10.2816373279741,10.4207266617992,10.8651498917624,10.5261087349574,10.8384916360765,10.6315732401618,10.9301553683195,10.3109749378912,10.1297384573004,7.94536447997882,10.0087289928956,9.14098958002281,9.59339082544541,10.4568476630899,9.94204586258984,10.0500356482102,10.9930181390288,8.16128273981447,8.53925727881533,8.80017927004181,8.60856536307192,8.694682601053,7.58460547440001,8.19768542895252,8.43422733394081,8.89233363295788,9.05942366862647,11.2835362186106,10.2841193675709,10.1609388285304,8.90677076781556,10.0014460211233,10.217596314897,9.29881528986319,10.0427778470748,10.7088711657748,9.26166671837895,8.91522305241827,10.4465578831664,9.42490830875798,8.83541068349957,8.50251890348643,7.47787813829142,9.33437125660164,10.9667657564211,9.47324298795384,10.4155989059069,8.82237646632212,9.92337992053138,9.04654413427888,8.35355896387396,8.09589888020177,8.0391465802944,7.45058256759903,7.00716022115826,8.09310542344813,7.44250107421895,6.89067366130669,8.19098504812455,7.01651949403022,7.02437043293496,8.31173065578478
CAP1,8.27449654383124,11.9608007048296,10.7492149476587,11.1446749199731,10.4637704795774,9.84017187291849,11.0574323937601,12.7022881108171,10.8601328089123,9.73247028355463,10.5581758018598,12.0669039805721,11.850153155907,9.89530079771325,9.84485276701826,11.0929753603315,11.0602710555084,11.6591955308298,11.506379804131,11.8405632922155,11.3476686979988,11.5812683503024,9.0216037597678,10.8145955158182,9.07450260174175,10.2024982191959,10.5331224227118,10.4362038520059,10.6207957933013,11.2037477410454,9.53571539104881,9.46920260852888,9.26222547919898,9.27974188140182,9.70326217907933,8.80367886824235,9.04559681453995,8.98828940053821,9.9499646882272,9.66292767510967,12.7396504520538,9.72971540892998,10.4072091272103,10.7622577807469,11.0946015611681,9.27916206405877,10.390226641011,9.62261505783628,10.8597617608421,9.59437301946163,10.4436014193949,9.89328328525071,9.94056658121118,8.57052804145395,8.23584860938374,7.99095195334262,9.91972666875339,11.9766285404975,8.89606401591461,9.72514001677096,8.80698465524717,8.90159166409028,9.0061614152515,7.76123856258277,8.00787588498923,8.25415680289003,7.67217759420847,7.98783511732758,9.23216948278128,7.66430833052858,7.55353315010281,8.54694998515273,6.89676990060109,7.29957603424317,8.17015292779213
CALM1,8.91169583140351,11.1358650203344,12.506685870172,11.1801771540701,12.5497124990829,11.1533645966486,12.0096259095135,12.3347922724892,11.7522550146434,11.7097479349773,10.7874426869354,11.6729813962804,12.1069775179881,12.4468908330989,12.0367998515569,11.3433946228593,12.1035139676251,11.5838269871133,12.2960217879991,11.6891594140745,12.0264286896546,11.597881605824,9.09408096190062,11.6988295974399,10.4639124858992,10.0958964993219,11.3644098712448,12.1193586993037,11.9989767040254,11.8941400805744,11.511814802837,11.7785541444668,9.78217120896065,9.4349016150418,10.0259903900427,8.52534187085882,9.25597335008335,9.2254115580716,10.1687122831402,10.333594662541,11.5507522844091,11.703264296879,12.3626898107856,13.2099376558744,11.4172159073535,12.1669719396249,10.4772784068661,12.0019701330164,12.237200805954,9.86884124811955,10.0636363910994,12.2761856170703,9.93325530271439,10.7979266344803,9.56769385129216,10.4212047236955,10.3686166485431,11.6353278773798,10.64107875453,11.7173744564146,10.2732593643674,10.8369136980742,10.5982463656857,10.4752774746786,9.35245380805458,9.74798907402595,7.84789054885267,9.51180007831831,8.65814331704052,8.86049533071238,8.28169871458415,9.24963856011165,9.0469074791059,9.10054452630955,9.37516107793111
APRT,7.78371954003451,9.55511714552563,8.98863727632744,8.79304671537715,8.93460405033843,9.58700517691989,9.4876712917856,10.5627387970028,8.77404340972568,8.3213134318583,8.48755459950898,9.30555384823807,8.91852073230621,9.85273652848357,8.45935760860717,8.581566915655,9.77847259624109,9.236584811975,8.84607325175444,9.14314648618319,9.09700019693365,9.12539013067021,8.66197427104324,8.60097451342889,7.94004499094201,7.97626091975369,8.70943581599679,8.57573448780969,9.96755515258287,8.95703520614465,8.94934721506199,9.63413043037659,8.15024406746367,8.63350399007433,8.76745962901635,7.82449797164989,8.05837421882274,7.88490337147785,8.14529361701559,7.61816690567055,10.4842135951581,8.57173425729384,9.71814976256685,10.9848795928215,9.19078759795799,8.89272589210878,8.41985920807238,9.69972640340029,8.84763469630269,8.06616937365546,8.25925349529964,8.83480024931117,8.40798079721369,8.66413395370201,8.83968463933709,9.09557792807869,9.19201701515026,9.45665871706184,8.84930701935445,9.06888865344458,9.32862465507415,9.72243317612235,8.12832467552029,8.8815762366119,8.02640289068339,9.07260257038842,8.93351249649607,8.5891145890635,7.8269901597771,8.34693801311629,8.09991181798174,8.49344635132,8.38543118717814,8.98210561504867,8.71317706082143
CLIC1,8.61622698880483,11.4242178768489,11.6987777320066,10.4770404045854,11.6820957116907,10.4354715262927,11.6251911584416,12.0832439313009,11.106696719984,10.8739251605196,10.3330723024177,11.4956731042738,11.4633464434847,12.018465152153,10.9916591241202,11.0907281378966,11.5631294698235,11.13877257352,11.1411380894426,11.2185595010817,11.1594809700382,11.2057173062868,8.65233038255029,10.9677729360334,9.41004831723405,9.49950346952379,10.6943466908692,10.486277976712,11.3167189397941,11.8222768045935,10.8858944624201,10.5449562425078,9.26356709459669,9.1066169034363,9.72553586182263,8.53466732003874,8.74887150556061,8.8054450019377,9.44747680940788,9.30004774818462,12.2369369026616,10.9123659851612,11.9265565052965,11.6400696817271,11.0845159378759,11.1904387609834,10.2308137030577,11.18594007977,11.1012137037788,9.27796175214489,9.66049522636551,11.0157058383017,8.8954352455072,10.0792375008116,8.96765915923978,10.2731982290411,10.047059764764,11.5997224931373,9.79912687040558,11.6051870482299,10.1694781501182,10.8820311973646,9.32274667252429,9.73516952635957,8.42018257454709,9.01334963016805,8.79873007079177,9.17892440670849,8.71450624106448,8.39130577674649,7.71471928394592,8.57378937316578,8.47633614533594,8.95184806801098,8.92792788837161
USP15,7.57533963900687,8.62830052780158,9.73843367999751,8.32698094307261,9.53677565886719,8.46055765094041,8.98338181543801,9.01195088453203,9.38695780181257,9.60806978263603,8.640739641259,9.08709648098752,8.84784795307377,8.9502294850643,9.41611216019282,9.14493713773589,9.98760313955456,8.94864581692413,9.42854680380869,8.9151927388728,8.81658684086578,8.9510312170309,8.12135154242713,9.02582067547189,8.06233303928456,8.30646483226297,8.79931471525704,9.24193179039173,9.24784804569476,7.93213804658453,7.6140589307416,,7.52901469894041,7.15504303298967,7.31148185980904,7.37271989208782,8.13377770536728,,8.05808477030183,8.08566004180344,9.08867892698138,9.1691481321185,8.18996609867263,9.11986219276164,8.26721932292988,8.78894172504745,7.24134359277364,7.98532612338348,9.3219705644652,7.92921366851873,8.03619339624266,8.87682546728013,7.92786624784119,8.60118909612996,7.79374352962377,7.45029089075007,7.47964144129129,8.73306382290878,8.41226453066414,9.38843644545364,8.07111595153197,8.01555751367853,7.70065309407727,7.82491868478903,7.61733188810812,8.1665762842276,,7.32678267611279,7.59376890464837,7.76901286631642,6.64574188666578,6.99263128838992,,,6.79362132920019
ABI1,7.74097035508724,9.52219218782678,11.1216118084594,9.05215738628433,10.5964629365672,9.38439753786439,10.3071892159391,10.0415205775213,10.699717552591,9.43294142274688,9.19293667090431,9.96609958746361,10.3364069057863,9.91654961278972,10.7987796880108,10.6270356945604,10.3225070426647,10.2806062904269,10.3032615101776,9.84600357627581,10.1036348685811,9.8484209311805,7.53681047966361,10.005157311886,8.9602734341074,9.37862636062736,10.1856426025733,9.64560698949933,9.77167159934023,10.3460597605724,8.28212728676943,8.11513006449134,8.33842781180729,7.61900552088973,7.77057575579638,7.69599505345933,8.00085690286457,6.94963122474268,7.99463272874023,7.93722223558193,9.90224847313446,10.3849892334674,9.34478168724175,8.14772572831682,9.76005739471397,10.9039244224767,9.22131306263375,9.50727920609268,10.3104047948036,8.35554546125846,8.63533639831723,10.5175395661093,8.20187044501796,9.62985262279463,8.28867001553225,8.09639569195385,9.1064500969368,9.94250512490587,9.44487093307428,10.5244158573435,8.81918746614791,9.20057154633807,8.83175543883796,8.93543118503848,8.13968020540924,8.33531383737718,6.54048129762382,7.01820140065088,8.00701225750059,7.3874618452257,6.79984472212898,8.06941850851985,7.02659134748676,6.5884932866283,8.6083486014824
SNAPIN,,8.78613068210772,10.0784398654548,8.18397433003796,9.57783859625291,8.59237039082122,9.09739373807672,9.46816357495734,9.34993696099469,9.40737672044635,8.62767987425824,8.74989023279626,8.6238918228244,8.98237728376747,9.3050087652931,9.11909040248274,9.17572523663784,9.14409412780665,9.5309870298881,9.0766462978931,9.29186073322968,9.17831783796567,6.42842429764759,8.92108233769953,8.67812049779982,8.61284207836168,9.0952800689761,9.15721038944508,9.21489409170924,9.65313493811791,7.65914068431121,7.81729745704189,7.43604370090239,7.57180566973197,7.74601957585195,6.90461984984462,6.93997861061574,7.64018773755612,7.39367334566543,8.4605582418488,9.25264263626696,9.44218530645495,8.86594369239679,8.24728228220531,8.6906983290063,9.96399190623351,7.97251545778279,8.62749789950604,9.20058694027736,7.80102630055064,7.33643255104004,9.45023965525075,8.14610821647586,8.29830374889972,7.11598543742914,7.53653410097009,7.61553253767173,8.81768432859839,8.21013087776392,9.36220099660998,7.77781395351916,7.77299995940105,8.20943094037146,7.97603090612863,7.40477620514804,7.75314701256165,,7.26982639842689,6.73995926704395,,,7.40028514227038,6.53439395904461,,7.6843626665255
TPM3,9.19376787754873,12.1631766404366,13.2099107419591,11.583225130531,12.7445905287098,11.5334154805526,12.4737858158994,12.8114559720691,12.7223110385207,12.2018201373349,11.6362958719658,12.5884517678194,12.7795652618239,12.5022783952975,12.4828195763052,12.787586958037,12.7170640534191,12.6420229227711,12.3884417912394,12.3639543093472,12.7492418299127,12.3403005364479,9.69144496317579,12.4802910986138,11.0941196995371,11.6583689272641,12.3005624808873,12.2856387412895,12.358516620476,12.7538231237814,10.7133606218126,10.6308617558537,10.4894157931732,10.0537857238594,10.3117194445391,9.37213874487881,10.0618734883981,9.90206230494633,10.7656942325641,10.7869674333637,12.6879142002526,12.450074589285,12.0283956970649,10.3954934846382,12.1916747418018,12.6828871427609,11.202929995511,11.8215434119866,12.621876081632,10.3397041707561,10.9442651949659,12.6239371212455,10.7960301477019,11.581464017115,9.88040607335469,9.49481702694374,11.0215540783779,12.4928312794077,11.0104824409937,12.4541833939089,10.6411491853951,10.5810798866539,11.0071539371392,10.7894566052415,9.7711719126245,10.3550126025808,9.49628183821317,8.34261664697987,9.78101092113062,9.03570185845365,8.2883616512188,9.92774806727219,9.14453767747979,8.36553833539071,9.94656406876805
