Genes,Sample 2,Sample 3,Sample 4,Sample 5,Sample 60,Sample 6,Sample 7,Sample 8,Sample 9,Sample 62,Sample 10,Sample 11,Sample 21,Sample 12,Sample 13,Sample 63,Sample 14,Sample 15,Sample 23,Sample 16,Sample 17,Sample 18,Sample 19,Sample 26,Sample 20,Sample 22,Sample 24,Sample 25,Sample 30,Sample 53,Sample 32,Sample 34,Sample 41,Sample 43,Sample 91,Sample 45,Sample 70,Sample 47,Sample 92,Sample 48,Sample 49,Sample 93,Sample 54,Sample 55,Sample 94,Sample 74,Sample 96,Sample 75,Sample 85,Sample 86,Sample 88,Sample 89,Sample 72,Sample 82
SMIM5,7.99277831917514,8.1507143658396,7.18898502655027,7.85278415701124,7.96740243470009,7.57417236931875,7.93468653909674,6.39658841698813,8.55483511865524,,,,,,,7.39726662559255,8.12436386574127,7.11675857943365,8.55680665176695,8.17257254536143,7.65041983575239,7.79130853998371,7.48703816239295,7.31850720792827,7.53346731622366,8.50547173869074,8.18701010988246,8.88083727545086,6.98907046297261,,,6.43839451309186,7.45326566184137,8.82753294371928,8.36568757694604,9.29281900208281,9.34713947669706,8.1102849850033,8.92061123276734,8.43675574310989,9.42012851708093,8.08858104962625,7.25371593581742,,8.90614999182587,,,6.97631652607753,,7.90863597738508,,,8.08891886379123,
LGALS1,9.29811925767847,8.3870041120932,8.46932622452564,9.09531227103782,8.39098548542525,8.57341501418036,9.29771775089374,8.55234197856839,8.13163792861835,8.16531341321168,8.71707611103123,8.75021990915371,9.64477741419492,8.30843715621845,8.54700780545807,8.26763769645086,8.61352167949699,9.41170429657856,9.11896724687648,9.05934144314084,8.69990860076011,8.33114575667275,8.01961099286895,7.92438237748245,8.40348928118209,8.14726043523517,9.00642873642228,8.8561621250983,9.26095165439025,8.76509507262527,8.23279940205539,8.63514444854753,8.47024798915663,10.0136704517017,7.99456137292797,8.97332471784591,8.77280377895155,8.40959726070833,8.55152708585346,7.91735950763374,8.9227869056505,8.75855898422102,8.08175215841135,8.63048390032819,8.49571020510468,7.62188568823777,8.25148935231362,9.83678688652795,8.33210957761364,9.17431773034278,8.07577715880203,7.76082430821864,7.89223239632204,8.03822839218438
SLC35A4,8.81435219061871,9.10267181974295,8.41940488078407,9.06089838342305,8.65190103426703,8.66887687369647,9.25979095250026,8.72767798248786,8.29269326993934,8.16045180073627,8.96096798205211,9.09154484037573,8.95173093978809,8.67865518289536,9.11342412243342,9.04867422624162,9.16595424040142,9.2449876273642,8.77713415760027,9.13398502138388,8.79824950124994,8.94034269372469,8.344669691042,8.82268007580625,9.20669880315773,8.92047324953282,8.40031385180359,9.18752161294702,7.31209154865706,6.90627997807709,6.87744085088603,7.34716646599241,7.6327265722624,8.84228156892766,8.99010565215095,9.22603596508712,6.61600985201973,8.82754299675925,8.97825060645739,8.06939621889402,7.69400981791729,9.52644048854309,7.43320149149286,8.07443918934526,9.18630127019087,8.52053204238837,8.10801523815076,9.22777460046025,8.09972370108727,8.7562686597265,7.85134789904692,8.60407283848981,8.03832800848064,6.58921558891441
CAPZA1,10.7977660468849,11.1776351750354,9.86106326175691,10.9141077884105,9.95317971352718,10.7652747726851,11.1231252472874,10.9253876097452,9.85017251614995,9.74284766402413,10.845883493762,10.9191712360682,10.5054328685672,10.7216550012352,11.3583367439238,10.6741748748766,11.0704144172256,10.9163908301084,10.8036336543585,10.561938685481,10.5128672169747,10.2929021273592,9.39820060464795,9.74779483227317,10.6754600899216,9.96512723738192,10.2148421850978,10.7989737493309,9.02490777177161,8.93499040611682,8.88899154501646,8.79956188510653,9.25958222546,11.2892813146191,10.4574084205884,10.3875291176286,9.27114908176409,10.5222075288992,10.8464456231072,9.80289946457676,10.1422515511441,11.1006732086988,9.1411965694954,9.54288131333828,10.719662028189,9.39685406449204,9.61356988311531,11.2416729580277,9.61735868144218,10.6623208550573,9.00010998693205,9.88910454618995,9.22378356679871,8.43512768547798
PPP1CB,10.5829863182907,10.8903162351642,8.45101569186257,11.4468470368353,10.0590128571049,10.3784408795221,10.9415960748089,10.1170519182903,10.7346816249976,9.89959930858714,10.7825353218684,10.0304305751713,10.1524356831895,10.3888780767884,10.3238908448297,10.4781163855633,10.513478895638,10.0238493233904,11.1033367668073,9.92037469257829,9.68249072327113,9.93615906104696,8.42253465387067,9.01205417983915,9.89296692045792,9.48773660337994,10.2478627755065,11.2246468113626,9.00602661849925,9.05905434057769,8.51671355718509,8.53449827557997,8.59143888284624,10.8095884645662,8.75814266031703,9.99191811216681,9.74752892187617,9.93447009061678,10.2062926107011,9.1977045675958,10.5175722328526,10.4204953634248,8.98830616173453,8.19612226963423,10.0834638063227,8.96987870995031,9.23610283732911,10.4809930259547,8.97536738575567,10.6658606571069,8.84057251704021,9.83422657250058,8.575533521969,7.96623218165274
NAP1L4,9.77784276351585,11.4172983507258,9.65765565229269,11.1593543794758,9.60051508189146,10.9495822633267,10.7542449012734,11.1562625974438,10.5003134943335,9.8966377282141,10.2902209373333,10.9787236539322,10.8503595591591,11.1608254388581,10.9025315119848,11.3699292313504,10.6630533027034,10.932493259444,10.4678030153403,10.7871600031022,10.5056371295075,10.6156342803429,9.74040735055858,9.49354180724908,10.2645632887857,10.7719732642558,10.4239984539035,11.1507001980213,9.19909969228364,9.41794964341003,8.77535017109362,8.76174661675234,8.84795628131201,9.98269356734341,10.819454345929,10.1080755129455,10.7522227852381,10.0464691436238,11.0908993068863,9.61866993524488,10.938541907146,10.9674132610316,8.5933418046155,8.74135246500753,11.2541904353192,10.2351666813323,9.10113614935676,10.3028663161644,9.65845219944438,11.0489310716883,9.35589100827845,9.2708763346548,9.46180182600328,9.65557207641034
CAPZA2,10.7777321894984,11.374836776805,9.56098160220085,11.5015525992218,10.4519182580583,10.8977696039944,11.1636066327606,10.7577726748727,10.3830543599947,9.67830083051014,10.8482489143851,10.4319302844765,10.2816373279741,10.4207266617992,10.8651498917624,10.5261087349574,10.8384916360765,10.6315732401618,10.9301553683195,10.3109749378912,10.1297384573004,10.0087289928956,9.14098958002281,9.59339082544541,10.4568476630899,9.94204586258984,10.0500356482102,10.9930181390288,8.16128273981447,8.53925727881533,8.80017927004181,8.694682601053,8.89233363295788,11.2835362186106,10.2841193675709,10.1609388285304,8.90677076781556,10.0014460211233,10.217596314897,9.29881528986319,10.0427778470748,10.7088711657748,9.26166671837895,8.91522305241827,10.4465578831664,8.83541068349957,9.33437125660164,10.9667657564211,9.47324298795384,10.4155989059069,8.82237646632212,9.92337992053138,9.04654413427888,8.35355896387396
CAP1,11.9608007048296,10.7492149476587,11.1446749199731,10.4637704795774,9.84017187291849,11.0574323937601,12.7022881108171,10.8601328089123,9.73247028355463,10.5581758018598,12.0669039805721,11.850153155907,9.89530079771325,9.84485276701826,11.0929753603315,11.0602710555084,11.6591955308298,11.506379804131,11.8405632922155,11.3476686979988,11.5812683503024,10.8145955158182,9.07450260174175,10.2024982191959,10.5331224227118,10.4362038520059,10.6207957933013,11.2037477410454,9.53571539104881,9.46920260852888,9.26222547919898,9.70326217907933,9.9499646882272,12.7396504520538,9.72971540892998,10.4072091272103,10.7622577807469,11.0946015611681,9.27916206405877,10.390226641011,9.62261505783628,10.8597617608421,9.59437301946163,10.4436014193949,9.89328328525071,8.57052804145395,9.91972666875339,11.9766285404975,8.89606401591461,9.72514001677096,8.80698465524717,8.90159166409028,9.0061614152515,7.76123856258277
GAS2L1,8.78771363886271,8.77815959418576,8.21053176234833,8.80833076224817,8.17457251397226,8.35683334373827,8.99430881487722,8.47474560694756,8.8579077607918,8.14426586029669,8.67449061394744,8.84576363009688,8.5503389125068,8.05401974405202,9.07208957883518,8.26936522603386,8.4421789774969,8.63097854686363,9.13485197509736,8.49656574969466,8.65351027332962,8.72286164251407,7.46912726252215,8.34723391127198,8.65206008686148,8.38443410412733,7.70418063540567,8.77362201860913,,7.15130475112534,,,7.46690678922123,9.08470628915239,7.91466475026322,8.63021750359797,,8.01192458012437,8.15102530031455,8.42012926140304,8.36863250326651,8.91769720628317,7.26364704590344,7.55234373964259,8.69377987495438,7.35101376532395,8.52627031079099,8.58981599499804,7.39482889207616,8.75893870622991,,,7.60036680265212,
CALM1,11.1358650203344,12.506685870172,11.1801771540701,12.5497124990829,11.1533645966486,12.0096259095135,12.3347922724892,11.7522550146434,11.7097479349773,10.7874426869354,11.6729813962804,12.1069775179881,12.4468908330989,12.0367998515569,11.3433946228593,12.1035139676251,11.5838269871133,12.2960217879991,11.6891594140745,12.0264286896546,11.597881605824,11.6988295974399,10.4639124858992,10.0958964993219,11.3644098712448,12.1193586993037,11.9989767040254,11.8941400805744,11.511814802837,11.7785541444668,9.78217120896065,10.0259903900427,10.1687122831402,11.5507522844091,11.703264296879,12.3626898107856,13.2099376558744,11.4172159073535,12.1669719396249,10.4772784068661,12.0019701330164,12.237200805954,9.86884124811955,10.0636363910994,12.2761856170703,10.7979266344803,10.3686166485431,11.6353278773798,10.64107875453,11.7173744564146,10.2732593643674,10.8369136980742,10.5982463656857,10.4752774746786
APRT,9.55511714552563,8.98863727632744,8.79304671537715,8.93460405033843,9.58700517691989,9.4876712917856,10.5627387970028,8.77404340972568,8.3213134318583,8.48755459950898,9.30555384823807,8.91852073230621,9.85273652848357,8.45935760860717,8.581566915655,9.77847259624109,9.236584811975,8.84607325175444,9.14314648618319,9.09700019693365,9.12539013067021,8.60097451342889,7.94004499094201,7.97626091975369,8.70943581599679,8.57573448780969,9.96755515258287,8.95703520614465,8.94934721506199,9.63413043037659,8.15024406746367,8.76745962901635,8.14529361701559,10.4842135951581,8.57173425729384,9.71814976256685,10.9848795928215,9.19078759795799,8.89272589210878,8.41985920807238,9.69972640340029,8.84763469630269,8.06616937365546,8.25925349529964,8.83480024931117,8.66413395370201,9.19201701515026,9.45665871706184,8.84930701935445,9.06888865344458,9.32862465507415,9.72243317612235,8.12832467552029,8.8815762366119
RPS12,8.50808836307957,8.31624109143382,8.03979381234277,8.37335763964772,7.48320879198708,8.05062842046147,9.08399284720527,7.80096763703687,,,8.0675946901701,8.31806808583613,8.28522107407439,8.0660087072688,7.88016574567231,7.98984095747396,7.84513553875315,8.45941801635164,7.81235427935087,7.99286312040245,8.26540840683116,7.87504187904729,7.13826263157699,,7.86006135775545,7.76814518744947,7.86348738974742,8.13117572078042,8.90790206119454,8.14768417247184,,,,8.76580692432594,8.21020530753766,8.9010887741888,8.52121364423321,7.7497599482093,8.07513202461773,7.43084047230382,8.17027865093391,8.01609193001238,7.07742423950775,,8.16816823461638,,,8.73840176291016,7.5352598659021,8.14430638342861,,,6.9084433079354,6.64985474193182
CLIC1,11.4242178768489,11.6987777320066,10.4770404045854,11.6820957116907,10.4354715262927,11.6251911584416,12.0832439313009,11.106696719984,10.8739251605196,10.3330723024177,11.4956731042738,11.4633464434847,12.018465152153,10.9916591241202,11.0907281378966,11.5631294698235,11.13877257352,11.1411380894426,11.2185595010817,11.1594809700382,11.2057173062868,10.9677729360334,9.41004831723405,9.49950346952379,10.6943466908692,10.486277976712,11.3167189397941,11.8222768045935,10.8858944624201,10.5449562425078,9.26356709459669,9.72553586182263,9.44747680940788,12.2369369026616,10.9123659851612,11.9265565052965,11.6400696817271,11.0845159378759,11.1904387609834,10.2308137030577,11.18594007977,11.1012137037788,9.27796175214489,9.66049522636551,11.0157058383017,10.0792375008116,10.047059764764,11.5997224931373,9.79912687040558,11.6051870482299,10.1694781501182,10.8820311973646,9.32274667252429,9.73516952635957
USP15,8.62830052780158,9.73843367999751,8.32698094307261,9.53677565886719,8.46055765094041,8.98338181543801,9.01195088453203,9.38695780181257,9.60806978263603,8.640739641259,9.08709648098752,8.84784795307377,8.9502294850643,9.41611216019282,9.14493713773589,9.98760313955456,8.94864581692413,9.42854680380869,8.9151927388728,8.81658684086578,8.9510312170309,9.02582067547189,8.06233303928456,8.30646483226297,8.79931471525704,9.24193179039173,9.24784804569476,7.93213804658453,7.6140589307416,,7.52901469894041,7.31148185980904,8.05808477030183,9.08867892698138,9.1691481321185,8.18996609867263,9.11986219276164,8.26721932292988,8.78894172504745,7.24134359277364,7.98532612338348,9.3219705644652,7.92921366851873,8.03619339624266,8.87682546728013,8.60118909612996,7.47964144129129,8.73306382290878,8.41226453066414,9.38843644545364,8.07111595153197,8.01555751367853,7.70065309407727,7.82491868478903
ABI1,9.52219218782678,11.1216118084594,9.05215738628433,10.5964629365672,9.38439753786439,10.3071892159391,10.0415205775213,10.699717552591,9.43294142274688,9.19293667090431,9.96609958746361,10.3364069057863,9.91654961278972,10.7987796880108,10.6270356945604,10.3225070426647,10.2806062904269,10.3032615101776,9.84600357627581,10.1036348685811,9.8484209311805,10.005157311886,8.9602734341074,9.37862636062736,10.1856426025733,9.64560698949933,9.77167159934023,10.3460597605724,8.28212728676943,8.11513006449134,8.33842781180729,7.77057575579638,7.99463272874023,9.90224847313446,10.3849892334674,9.34478168724175,8.14772572831682,9.76005739471397,10.9039244224767,9.22131306263375,9.50727920609268,10.3104047948036,8.35554546125846,8.63533639831723,10.5175395661093,9.62985262279463,9.1064500969368,9.94250512490587,9.44487093307428,10.5244158573435,8.81918746614791,9.20057154633807,8.83175543883796,8.93543118503848
DYNLRB1,8.28557268327273,9.87424205465387,7.46579366619787,9.29952743565675,8.0135318136291,8.87267708991293,9.21042267438147,8.48513480659309,8.94809032893864,7.77589218170953,7.83900680373179,8.60820426803681,8.0471834002028,8.89532852812323,9.46515789660922,8.35761198928429,8.37547613416201,9.44636919192636,8.43414981070471,8.29119308713637,8.62848269097368,8.34519378404764,8.1564933910461,7.85612639288391,7.97617066656918,8.17972746339572,7.79509111453824,8.66115701125567,7.43957639698946,7.27383661196827,7.47976095240177,6.61153787723331,8.28801744526517,8.86725329244752,7.82949605707265,8.58227991532974,7.9619609095676,9.38086130702493,8.44575226687555,,8.10662709698062,8.393869166577,7.61149266957216,7.13446116512619,8.37861900201303,7.68163047477441,7.06528034782065,9.33219423836408,7.49451202482954,9.01129023953112,7.37529135978693,7.85741914951203,6.99547155958876,7.08937284738485
SNAPIN,8.78613068210772,10.0784398654548,8.18397433003796,9.57783859625291,8.59237039082122,9.09739373807672,9.46816357495734,9.34993696099469,9.40737672044635,8.62767987425824,8.74989023279626,8.6238918228244,8.98237728376747,9.3050087652931,9.11909040248274,9.17572523663784,9.14409412780665,9.5309870298881,9.0766462978931,9.29186073322968,9.17831783796567,8.92108233769953,8.67812049779982,8.61284207836168,9.0952800689761,9.15721038944508,9.21489409170924,9.65313493811791,7.65914068431121,7.81729745704189,7.43604370090239,7.74601957585195,7.39367334566543,9.25264263626696,9.44218530645495,8.86594369239679,8.24728228220531,8.6906983290063,9.96399190623351,7.97251545778279,8.62749789950604,9.20058694027736,7.80102630055064,7.33643255104004,9.45023965525075,8.29830374889972,7.61553253767173,8.81768432859839,8.21013087776392,9.36220099660998,7.77781395351916,7.77299995940105,8.20943094037146,7.97603090612863
TPM3,12.1631766404366,13.2099107419591,11.583225130531,12.7445905287098,11.5334154805526,12.4737858158994,12.8114559720691,12.7223110385207,12.2018201373349,11.6362958719658,12.5884517678194,12.7795652618239,12.5022783952975,12.4828195763052,12.787586958037,12.7170640534191,12.6420229227711,12.3884417912394,12.3639543093472,12.7492418299127,12.3403005364479,12.4802910986138,11.0941196995371,11.6583689272641,12.3005624808873,12.2856387412895,12.358516620476,12.7538231237814,10.7133606218126,10.6308617558537,10.4894157931732,10.3117194445391,10.7656942325641,12.6879142002526,12.450074589285,12.0283956970649,10.3954934846382,12.1916747418018,12.6828871427609,11.202929995511,11.8215434119866,12.621876081632,10.3397041707561,10.9442651949659,12.6239371212455,11.581464017115,11.0215540783779,12.4928312794077,11.0104824409937,12.4541833939089,10.6411491853951,10.5810798866539,11.0071539371392,10.7894566052415
PSMF1,,7.29751130753487,6.38368011056494,7.63239710447501,7.4496386337521,7.67182937570551,7.43634426471751,,7.19302102292964,,6.80836077505216,7.86971830773508,7.09122056027644,7.15621740943064,7.68430061082528,9.03214597470599,7.34447910935213,7.42955059555129,8.61400375814905,6.76352264585086,7.78476395534351,7.34202338965433,,7.02536502394409,7.31474270804927,,7.35418625776791,6.90012864704774,7.56579609576276,8.04878489142431,,7.28481516982212,,7.24627498224919,,6.76477444287431,9.26078024334621,7.74412294805504,7.14932673803868,,7.91944520868581,6.67863006113302,,8.01250014450999,7.5739747530135,7.74320569863962,,7.54713080420726,7.80487258688955,6.77304451157251,8.02855235192981,8.22712274850331,,
BRK1,9.77390235375178,10.9455796409757,9.29051368980702,10.6940368512046,9.38452579518724,10.2120303900229,10.2095132678757,10.4599434626074,9.61490555466533,9.07371329404083,10.1625011362468,10.0740375964275,10.0293741537043,10.6373883153872,10.3690155446605,10.0800100254704,10.1489123532132,10.0331883791133,9.88590521037349,10.2476290761543,9.96309593065209,9.9092303494865,9.11879279711912,9.12555979930453,10.053805419131,9.78863160342849,9.81483544772084,10.1479637911695,8.46367799918038,8.30778494268549,8.52918919399579,8.4062131410757,8.47701404545394,9.84018536840415,10.0270850716269,9.61926208314395,8.1110030188896,9.72368796885472,10.7089556930623,9.38862830860688,9.55012824909112,10.2314892697457,8.38391104596371,8.66971786894605,10.2433564166175,9.42555968678079,9.07285166211368,9.69462211417657,9.11571450723944,10.0306775904886,8.89852975384785,9.3238902273147,8.80059524273715,8.84764234122246
LGALSL,9.89998363143808,9.22941076574365,9.76620636197264,8.74055758890972,8.54774169656378,10.0426019532741,11.4655908956553,8.57400587727635,8.32721137149389,8.51185034600714,9.93965515871973,9.71657678191434,9.51495074943326,8.11130263107874,8.93370147057373,8.91441254047048,9.45507050872217,8.8183406137134,9.48603710772906,9.46420242304657,9.13719629574244,8.48759202874242,7.03290442211904,8.03351392633137,8.79147936729919,8.68352009156675,8.69631759572212,9.40654406235618,7.91890780785152,7.91946937841253,7.9073580449467,8.28293733382181,8.27875318814861,11.3158877327389,8.85727464954362,9.96932058455064,9.19524462996571,9.67243128615446,8.6204796953441,9.0822063451097,8.9677268613073,8.41987373496293,8.10927391051017,8.86870303993954,8.77767030384397,7.51954277019622,8.79390537959335,9.96072140110305,8.08966843407977,8.35176768003085,7.15933334228139,9.34052247308445,7.47081115993668,7.72950968674755
