protein_index,protein,g_statistic,p_value,comment
1664,1664,7.774756128866639,0.020499022755584913,Test performed
1666,1666,6.011810489162408,0.049493929931110854,Test performed
1667,1667,8.41797183989875,0.014861431380317185,Test performed
1673,1673,8.673469387755102,0.013079166033695494,Test performed
1675,1675,6.768707482993197,0.03389954313613922,Test performed
1691,1691,9.712513357833554,0.007779550810355771,Test performed
1699,1699,8.955646258503402,0.011358111402936001,Test performed
1702,1702,6.273167044595618,0.0434309255091372,Test performed
1705,1705,6.225887615320101,0.04446985177281998,Test performed
1707,1707,7.776054421768708,0.020485720205832055,Test performed
1730,1730,7.546915317851277,0.02297249475454255,Test performed
1734,1734,6.27997100479536,0.04328342540330579,Test performed
1743,1743,6.225887615320101,0.04446985177281998,Test performed
1752,1752,6.75374149659864,0.034154164664268655,Test performed
1761,1761,7.037717309145881,0.029633237634340226,Test performed
1764,1764,7.7437177056615,0.020819632800160387,Test performed
