protein_index,protein,g_statistic,p_value,comment
1044,1044,7.736497415627851,0.020894930529847294,Test performed
1045,1045,6.593245737063556,0.03700793727006005,Test performed
1047,1047,13.17739966555184,0.001375827607212466,Test performed
1061,1061,7.649118187385179,0.021828057537932117,Test performed
1069,1069,8.925407608695654,0.011531143144938997,Test performed
1071,1071,6.232442455242967,0.04432434396827678,Test performed
1072,1072,7.849881789874293,0.01974330376621779,Test performed
1076,1076,7.835869565217392,0.0198821132597955,Test performed
1082,1082,8.62264107308048,0.013415821808811368,Test performed
1086,1086,9.762497909698997,0.007587531622846429,Test performed
1087,1087,6.73485677204042,0.03447818802591129,Test performed
1102,1102,6.258261976821437,0.043755805037432226,Test performed
1109,1109,11.03106906313428,0.004023775928259874,Test performed
1110,1110,9.103598545396418,0.010548208196294043,Test performed
1115,1115,9.655434782608694,0.008004772190780642,Test performed
1116,1116,10.11795652173913,0.006352046332722447,Test performed
1123,1123,8.404765886287626,0.014959885755284447,Test performed
1127,1127,7.0622983655592355,0.02927125850530251,Test performed
1130,1130,6.0149809710529345,0.0494155322828408,Test performed
1135,1135,6.002049689440994,0.04973607049061436,Test performed
1136,1136,7.55211801242236,0.022912812977840202,Test performed
1161,1161,10.309472049689438,0.005772003539540368,Test performed
1162,1162,9.807843379446643,0.007417437070760492,Test performed
1163,1163,11.69528132992327,0.0028867018268106484,Test performed
1166,1166,6.23203492516037,0.04433337664029614,Test performed
1168,1168,7.871739130434782,0.019528710454726903,Test performed
1171,1171,6.439857099422318,0.03995791316309787,Test performed
1181,1181,6.23203492516037,0.04433337664029614,Test performed
1183,1183,10.424846185397866,0.0054484555668376875,Test performed
1184,1184,7.662410772225828,0.02168346292587131,Test performed
1192,1192,6.1363987414187635,0.046504817448623295,Test performed
1196,1196,7.86916875099782,0.019553824687438555,Test performed
1197,1197,9.718135814108253,0.007757711430344611,Test performed
1198,1198,9.271361058601133,0.009699503995152577,Test performed
1201,1201,7.643209718670077,0.021892638081530764,Test performed
1202,1202,9.633104914933837,0.00809464572510418,Test performed
1204,1204,7.620791925465836,0.022139410839606757,Test performed
1206,1206,8.624068322981365,0.01340625135889999,Test performed
1215,1215,10.003210414023759,0.0067271398754727135,Test performed
1227,1227,12.46857837528604,0.0019610226381596135,Test performed
1231,1231,9.073509316770185,0.010708101672288837,Test performed
1233,1233,10.597500000000002,0.004997837300601962,Test performed
1241,1241,8.998723225703323,0.01111609064301499,Test performed
1254,1254,7.230718973397399,0.026907250679680608,Test performed
1264,1264,10.029904228111224,0.0066379498941006995,Test performed
1267,1267,8.678048001702944,0.013049258055015693,Test performed
1273,1273,6.443524844720497,0.03988470258898592,Test performed
1274,1274,6.0896739130434785,0.04760407288845409,Test performed
1278,1278,6.243967537794445,0.0440696576316809,Test performed
1287,1287,7.736497415627851,0.020894930529847294,Test performed
