,,count,count,count
cohort,,0,1,2
protein,missing_status,,,
373,1,2,1,1
374,0,46,21,14
374,1,3,0,1
375,0,47,21,15
375,1,2,0,0
376,0,41,21,13
376,1,8,0,2
377,0,43,19,13
377,1,6,2,2
378,0,49,21,15
378,1,0,0,0
379,0,44,20,14
379,1,5,1,1
380,0,44,20,14
380,1,5,1,1
381,0,27,18,8
381,1,22,3,7
382,0,38,16,7
382,1,11,5,8
383,0,49,21,15
383,1,0,0,0
384,0,23,17,9
384,1,26,4,6
385,0,48,21,15
385,1,1,0,0
386,0,32,14,7
386,1,17,7,8
387,0,21,15,5
387,1,28,6,10
388,0,49,21,15
388,1,0,0,0
389,0,48,21,15
389,1,1,0,0
390,0,49,21,14
390,1,0,0,1
391,0,49,21,15
391,1,0,0,0
392,0,42,21,11
392,1,7,0,4
393,0,49,21,15
393,1,0,0,0
394,0,29,16,8
394,1,20,5,7
395,0,34,17,7
395,1,15,4,8
396,0,49,21,15
396,1,0,0,0
397,0,49,21,15
397,1,0,0,0
398,0,48,21,15
398,1,1,0,0
399,0,49,20,15
399,1,0,1,0
400,0,49,21,15
400,1,0,0,0
401,0,49,21,15
401,1,0,0,0
402,0,48,21,15
402,1,1,0,0
403,0,49,21,15
403,1,0,0,0
404,0,31,15,7
404,1,18,6,8
405,0,39,19,10
405,1,10,2,5
406,0,49,21,15
406,1,0,0,0
407,0,49,21,15
407,1,0,0,0
408,0,49,21,15
408,1,0,0,0
409,0,49,21,15
409,1,0,0,0
410,0,5,6,3
410,1,44,15,12
411,0,49,21,15
411,1,0,0,0
412,0,49,21,15
412,1,0,0,0
413,0,49,21,15
413,1,0,0,0
414,0,49,21,15
414,1,0,0,0
415,0,49,21,15
415,1,0,0,0
416,0,48,21,15
416,1,1,0,0
417,0,49,21,15
417,1,0,0,0
418,0,42,19,14
418,1,7,2,1
419,0,25,9,4
419,1,24,12,11
420,0,29,16,9
420,1,20,5,6
421,0,49,21,15
421,1,0,0,0
422,0,49,21,15
422,1,0,0,0
423,0,49,21,15
423,1,0,0,0
424,0,49,21,15
424,1,0,0,0
425,0,49,21,15
425,1,0,0,0
426,0,49,21,15
426,1,0,0,0
427,0,40,20,14
427,1,9,1,1
428,0,49,21,15
428,1,0,0,0
429,0,49,21,15
429,1,0,0,0
430,0,48,20,15
430,1,1,1,0
431,0,48,20,13
431,1,1,1,2
432,0,46,21,15
432,1,3,0,0
433,0,43,20,12
433,1,6,1,3
434,0,43,19,10
434,1,6,2,5
435,0,47,20,14
435,1,2,1,1
436,0,49,21,15
436,1,0,0,0
437,0,38,20,9
437,1,11,1,6
438,0,49,21,15
438,1,0,0,0
439,0,49,21,15
439,1,0,0,0
440,0,33,18,6
440,1,16,3,9
441,0,49,20,15
441,1,0,1,0
442,0,49,21,15
442,1,0,0,0
443,0,41,18,12
443,1,8,3,3
444,0,32,17,7
444,1,17,4,8
445,0,49,20,15
445,1,0,1,0
446,0,47,21,15
446,1,2,0,0
447,0,15,6,5
447,1,34,15,10
448,0,49,21,15
448,1,0,0,0
449,0,48,20,15
449,1,1,1,0
450,0,47,19,15
450,1,2,2,0
451,0,43,18,13
451,1,6,3,2
452,0,49,21,15
452,1,0,0,0
453,0,7,7,2
453,1,42,14,13
454,0,49,21,15
454,1,0,0,0
455,0,49,21,15
455,1,0,0,0
456,0,49,21,15
456,1,0,0,0
457,0,49,21,15
457,1,0,0,0
458,0,49,21,15
458,1,0,0,0
459,0,49,21,15
459,1,0,0,0
460,0,48,20,15
460,1,1,1,0
461,0,49,21,15
461,1,0,0,0
462,0,43,21,12
462,1,6,0,3
463,0,46,21,15
463,1,3,0,0
464,0,45,19,14
464,1,4,2,1
465,0,20,9,4
465,1,29,12,11
466,0,49,21,15
466,1,0,0,0
467,0,49,21,15
467,1,0,0,0
468,0,49,21,15
468,1,0,0,0
469,0,35,18,7
469,1,14,3,8
470,0,43,16,12
470,1,6,5,3
471,0,49,21,15
471,1,0,0,0
472,0,35,19,7
472,1,14,2,8
473,0,48,20,15
473,1,1,1,0
474,0,41,20,12
474,1,8,1,3
475,0,30,16,8
475,1,19,5,7
476,0,42,19,13
476,1,7,2,2
477,0,48,21,15
