,Genes,Sample 60,Sample 65,Sample 18,Sample 59,Sample 42,Sample 30,Sample 31,Sample 77,Sample 32,Sample 7,Sample 55,Sample 76,Sample 28,Sample 72,Sample 88,Sample 11,Sample 64,Sample 91,Sample 25,Sample 78,Sample 83,Sample 80,Sample 70,Sample 90,Sample 8,Sample 45,Sample 85,Sample 84,Sample 17,Sample 44,Sample 22,Sample 68,Sample 57,Sample 66,Sample 38,Sample 82,Sample 39,Sample 37,Sample 61,Sample 16,Sample 23,Sample 24,Sample 87,Sample 4,Sample 73,Sample 15,Sample 49,Sample 75,Sample 79,Sample 34,Sample 1,Sample 36,Sample 29,Sample 5,Sample 86,Sample 52,Sample 12,Sample 95,Sample 20,Sample 51,Sample 48,missing,mean_intensity
8165,SH3KBP1,9.19914964506547,10.9638773532262,9.77510287151074,8.31748086977331,9.42428835199687,,10.2237021834748,8.3329653158016,,9.61511787603891,10.0803949757163,9.5268799370403,9.03645013730019,10.1806537866252,8.74789399302073,9.61019144325595,9.38956855759963,,10.480363327318,,8.5819942209639,,9.19924492015376,,,9.73182204643262,,,9.90836180704073,9.23050060150224,10.2762709925357,10.4485350042315,,9.77788696626084,9.63676805909191,,8.91228284412098,,10.2575869405739,,9.23855247262169,9.08050755382426,,8.8632636954297,,9.99005145700319,9.14956923355272,,8.34446295479738,9.32225280332942,,,10.2767379143747,8.28589221152694,10.0536440929245,10.27931638507,9.54350310093433,,9.41044221458001,10.0769318843757,10.2243678042656,0.31666666666666665,9.336246376854373
9216,SLC44A2,7.64683235207958,7.5125686802947,,,6.75715913106442,,6.48345091763402,7.58477258452447,,,,9.18446572784509,8.53415589500539,9.41894846145608,,,8.13559468093713,,6.46313495547745,,,,,,,,,,6.98549830353299,,6.82575461192768,,,7.4889761678225,,,,,,,,,,,,,,,,,7.72965238126911,,,,,,,,,,,0.7833333333333333,7.134818988008883
484,SLC44A2,9.56826162320272,9.50936454236133,9.10685713178907,8.74615721617866,9.05028003321739,9.44410826428986,8.99519646843713,10.3821568571191,7.98116736107331,8.43710367708865,8.19397813641588,9.80781257767236,9.63839632472912,10.3636839535775,9.18888622378017,9.23287383148994,10.3292013045868,7.57577055610787,9.35459079435588,6.76122019510877,8.93378171763499,,8.46188703947217,8.4955262199931,,8.79572126120434,8.51060647059512,7.64462088329689,8.92443797516366,9.05462326740076,9.06898520892589,8.84485629240343,8.04607442028135,9.48086123529598,9.21569808734873,8.87754363091364,8.04041734595122,7.25618561647532,8.72682852826029,7.39253081497539,9.29631109738483,8.6244736458196,7.12540353441634,8.85155085077566,9.02981496494697,9.1366717790488,7.98581635112455,8.65141792041234,7.54014981384728,8.80352963243721,10.2241079236107,8.52843440989527,9.02816205478067,7.21612553769178,9.82548285476694,9.41715844279511,9.50838476515183,,9.21760479747941,8.93627574242917,8.70335740367789,0.05,8.647762499783854
5316,SLMAP,10.4236053282539,9.00698454630146,9.19151422389297,9.47162197549594,8.92492095580512,11.6448145956577,8.84477379277137,12.4577498814971,7.93125929649185,7.86800682679764,10.1463386455585,8.46731860186442,13.0786219141913,10.2307764767411,9.52953167823445,9.48931072483092,11.2653334259931,,10.5917637348753,6.57213408721182,8.95428227749331,,8.68697256400493,8.13422634260207,,8.94509682951847,8.81814156516178,6.70764461675384,8.86967541191206,10.306060831819,10.98387738915,9.56026633236097,7.96011704440511,11.585353940012,10.8999899374999,9.44244370421365,7.75821031114324,7.08686173275498,9.54679096380364,7.83151463031037,9.35704220498507,8.57848569145722,,9.80661082671518,9.50421963363445,9.52415240136498,8.13619584396691,10.5411048825215,8.11472418817133,8.80286537946338,11.5911267282973,8.79197284961831,9.27224319753296,,9.32144257424979,10.4543407758069,9.67386934071094,,10.5211853257637,8.71164640477464,7.89392147181254,0.1,9.190680936908699
506,SLMAP,9.56718348063736,,,8.80257656236905,,11.1398790653115,,12.6820319255202,,,8.75052611383688,,12.688383659413,9.56049420913838,8.79397404321414,8.87327423808173,10.9039322570778,,9.02509480418436,,8.31793752011224,,,8.82289741269864,,,,,,9.80102771332093,9.34372945743423,9.22971197239719,,11.716147938625,10.6055267487187,9.32858322189416,,,8.34752808496243,,8.68242480715483,,,9.26344216998342,8.41457148758726,8.80132779379852,,9.99439200797756,,,11.3238048793044,,8.16193066937684,,10.2841726213112,10.2100268716303,8.56863091182528,,9.66566492342987,,,0.5,9.374311164248065
7445,SMPD4,,,,,,,7.26746204971749,,,,,,,,,,,,7.19493094256209,,,,,,,,,,,,,7.14063364407132,,,,,,,6.31429081273169,,,,,,6.98999774547172,6.2284368247775,,,,,,,6.69763419325991,,,6.90224942054013,,,,6.8307034196069,,0.85,6.241633905273875
4671,SMPD4,7.97266725351886,7.96761129905387,,8.04971866572964,8.50319343601384,7.75398722286693,8.89911838631129,8.43002520318301,,,,8.04388006528499,8.19630240537555,8.16559147607253,7.81505252359869,8.14813186721334,8.08655080483087,,8.50449330323197,,8.38533039718682,,8.21233095982895,,,8.08735166376763,8.09470841639228,,8.00644338623757,7.78409746315937,7.76000163394035,8.48229468349964,7.66542751752376,8.24244734260233,7.90686267976894,7.50283616140379,7.38632375455746,7.58908954023551,8.16101705330501,,7.83019707520797,7.88776784491196,,7.9724778179877,7.97635714185781,8.47373086170366,,,,7.68688018977661,7.84519108538012,8.05361445836173,8.84506990219244,,8.28302958081598,8.43060211569813,8.26085060714777,,8.03545294131422,8.3467423620895,7.89183007674002,0.2833333333333333,7.907576061515794
161,SMTN,10.8476335107315,9.43741648429075,9.60985311934877,9.17676706545411,8.2179517185529,9.93835568234192,8.41769529629443,13.3502181818862,7.67935319574266,7.24972832742152,10.3041008524584,8.46116687725801,13.6770321332781,11.2022345948522,8.42522803214612,9.48044161938004,12.4039600769759,,9.77781592004371,,8.69004014635357,,8.36087339801451,7.90225485583447,,8.09903948462523,8.1078385591342,6.08311819479823,8.33958361888789,11.0842804439259,11.1388654972585,9.96861422113344,7.88195849757448,12.680863756033,11.1429050189531,10.6211414565606,7.2674220828238,6.12627462221693,10.0713839995521,6.90733917284023,8.92965539993303,7.61130747152919,,10.0690858678464,9.38807989055897,9.23771378497857,7.86954645595772,10.2125529318245,7.6820563632137,8.70163210868569,12.118934130132,8.14092277842621,9.50703375141586,,7.90269337646512,9.61671519036704,8.85444943208146,,10.6779676703256,8.06788680728668,8.21387256311456,0.11666666666666667,9.077812756389905
5469,SMTN,9.38410490135874,,,8.60290772726414,,9.76462345579629,,10.3297988898052,,,9.20397844514459,,10.7982357133247,9.35060579963986,,9.24006699705959,10.2180964885936,,9.30102278278828,,,,,,,,,,,9.74340448755345,11.3933283995823,9.08949925010194,,10.6991120351362,10.3556449556149,,,,9.3897639848964,,8.66112218438709,7.7116803691162,,,,9.51607063377597,,9.30512488054602,,,10.3987720681106,,9.00625196841107,,,8.91577155986924,9.03176765954552,,10.0405476600537,,,0.6,9.226687935844675
9551,SNAP25,,,,,,,,,,,,9.14811144365228,,8.96598166078488,,,,,,,,,,8.42651104714331,,,,,,,,,,,8.19957788892227,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9333333333333333,7.134703074767215
2093,SNAP25,,8.19193316557142,,,8.06137772096628,7.50570634004993,8.12994467386979,8.58978182446111,,,,10.167069763555,7.55390637222454,9.98712199085966,,,,,,,,,,9.48079557920354,,8.63937840027116,,,8.27357720898216,,7.95401661004792,7.57524970423559,,9.24540147411992,8.31143079387342,7.93032690932963,,,,,,,,,,6.84717761535708,,8.27596733958905,,,,,7.77075491193425,,,,,,,,,0.6833333333333333,7.958712586591739
9378,SNX2,,,,,,,9.66673427944686,,,,,,9.79438571784928,,,,9.20452092045444,,,,8.44702745323403,,,,,,,,,,,8.92008044811316,,9.29336722383341,8.64153018524931,,,,9.49284375845218,,,8.94498184280361,,,,9.29059918274539,,,,,9.24132195356477,,9.8826297101483,,,9.56385272483305,,,,,,0.7833333333333333,8.654800623861508
5082,SNX2,9.07051391229182,10.0266155091084,9.20454737444659,9.7545732552838,10.6186207439293,9.13490179309513,11.0587175956217,10.7558082280226,8.75821548894115,8.69402963636471,9.44582214637736,10.4195911872248,10.2820593683906,10.2158101393229,10.3027938092711,11.0128439084589,10.6603470104693,6.62963017552612,10.0326198003739,9.88857076334597,10.7862467484742,6.197619416153,9.78900907398797,8.88157720105757,5.28669861714409,9.89736333859813,10.030161521884,8.13247677843788,10.337784487312,10.1796951279495,9.23668305774628,11.8589482089418,8.97268223475676,11.2763634363601,10.1360740547272,9.57498693587995,8.88412063293107,8.50948566733996,11.2731242845643,8.01298576477249,10.4594463299592,9.38430710053483,7.9147122361691,10.4822179262458,9.76154505899771,10.7233704604619,9.31206175312297,9.12574884861462,8.95887783215887,10.1210681423228,10.3600483770276,10.3285586694738,11.3103752266,8.50297164243613,10.5062945858252,11.4772266507707,10.7036369280984,6.23094447697551,10.4518246815379,10.5157862299175,9.4304876714402,0.0,9.511667464775135
9332,SORBS1,9.63143737641786,10.8346181429576,8.9286164256878,9.00540678736474,7.74549627768339,8.17933082123,7.41159332045875,11.5339518211814,5.55861865943839,7.83732602627424,9.68694919266307,8.80023949518502,12.2795397546657,10.4465414869868,8.18520070865671,8.91807686383481,9.9363155220339,,6.44102850896737,,7.51253884167304,,6.44040655027332,8.65622540141642,,9.01367711391634,6.6305114762648,,8.37279701334068,9.74201706980889,9.47557751376716,9.66108356786498,5.60791816750897,11.0925546958147,10.2260365083935,9.38702336983675,7.03534659634814,,8.37322076149927,4.81210157957879,7.47313935433494,6.72155149154489,,9.40744850178138,7.02879195337977,7.53520047694417,5.26584853084036,9.15689464235247,5.73496109992059,7.85872074908779,10.5926750305363,5.97876791010241,7.65745764210869,,8.88406587176319,8.42012406702031,7.82210289069354,,9.11903922010662,5.66457427766486,8.25063731923593,0.15,8.124805520615263
9187,SORBS1,,8.07562294360861,8.09419994795679,8.08888569907582,7.19553855842478,7.65999465405542,7.45045468987216,9.68518057418641,,,7.48556684758054,,11.5392876679365,9.13489321477038,7.45136376719005,8.87218634041444,9.69761920600933,,,,,,6.58071973592472,,,,,,,9.30910413624023,6.93357828285526,,,10.9174062082809,9.86511450632434,8.1808628077002,,,8.41463242073587,,7.33674733343727,,,7.27650534969987,,,,8.65613148985856,,,10.6815844502691,,7.05823542754531,,6.59764134410578,8.57450515688447,8.34684301725267,,,,,0.5333333333333333,8.127370314190658
4654,SORBS1,10.5841624590759,10.8643422980281,9.86347615885753,9.849624065069,8.79422404514226,9.43958474855939,8.5834458891917,12.6471812078387,7.82518516206369,8.58520462028941,10.5808753107791,9.44299082459074,13.1528312555848,11.273233165884,9.16645337064235,9.91138594640926,11.3667182729028,,9.27762169574818,6.11231657807726,8.6192067744025,,8.00021720016051,8.20957533980037,,9.27085292906389,8.08815361751509,,9.11895342735625,10.6375196857849,10.9131964127347,9.94202072460222,8.68168501347701,12.3410702906195,11.1370937539652,9.98249645886198,7.80140068294304,,9.81822150208225,6.46938379089852,9.47784847221378,7.74196170487948,,10.3908928356672,9.17878242180309,9.16606550860003,7.58685970811734,10.1421948217829,7.34360941188668,9.31781856339208,11.7261325394788,8.33292392887308,9.12427174455841,,9.68091779880115,10.0754420578231,9.61780653715575,,10.4071612883012,8.59417535128472,10.3869213315282,0.13333333333333333,9.324393614705784
9380,SORBS2,,,,,,,,,,,,,6.89482754735489,6.49010550382142,,,6.9255584322156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,5.315122870847977
7667,SORBS2,,,,,,8.87268660838463,,8.22145060729729,,,,,8.42694302841423,8.69065218698435,,,8.13079727171299,,,,,,,,,,,,,8.39295306492754,,,,8.70933152514924,,,,,,,,,,,,,,,,,8.01419070110217,,,,,,,,,,,0.8666666666666667,7.591741295626566
9280,SORBS2,8.45528982332004,8.86300258045489,9.16761625446661,9.47400449438614,8.66695343463972,11.0182895330999,8.30907288414926,11.0471772046652,8.25762052124859,,,7.63806090922581,10.7232078576043,10.1041399533465,9.02599018708544,9.59916921702938,12.0556124569946,,,,8.98600819109193,,7.6745947563423,8.18859868623738,,8.08890916840133,8.45406281147694,,9.18141347064266,9.87809166668143,,7.66920744144735,,11.647081148691,9.99006935946303,9.03302651714945,,8.44894147625624,9.30726563018013,,9.84856616955386,,,8.82012312976621,,7.71186094537626,7.75607587196811,8.46210196545634,,7.82113460544145,11.4462560798174,8.38470460132831,9.36465041359211,,7.70115405322538,10.0150707498012,9.20029043615082,,10.1455485780555,8.50713578485706,,0.31666666666666665,8.952345901512242
