protein,missingness_percentage
ARHGAP18,0.0
ARHGAP21,38.63636363636363
ARHGAP23,77.27272727272727
ARHGAP24,50.0
ARHGAP25,27.27272727272727
ARHGAP26,20.454545454545457
ARHGAP27,15.909090909090908
ARHGAP29,65.9090909090909
ARHGAP30,2.272727272727273
ARHGAP31,38.63636363636363
ARHGAP35,15.909090909090908
ARHGAP36,93.18181818181817
ARHGAP4,0.0
ARHGAP42,56.81818181818182
ARHGAP44,77.27272727272727
ARHGAP45,0.0
ARHGAP5,54.54545454545454
ARHGAP6,11.363636363636363
ARHGAP9,4.545454545454546
ARHGDIA,0.0
ARHGDIB,0.0
ARHGEF1,0.0
ARHGEF10,6.8181818181818175
ARHGEF10L,6.8181818181818175
ARHGEF11,27.27272727272727
ARHGEF12,2.272727272727273
ARHGEF15,56.81818181818182
ARHGEF16,95.45454545454545
ARHGEF17,9.090909090909092
ARHGEF18,25.0
ARHGEF2,0.0
ARHGEF25,65.9090909090909
ARHGEF37,13.636363636363635
ARHGEF40,29.545454545454547
ARHGEF5,90.9090909090909
ARHGEF6,0.0
ARHGEF7,0.0
ARID1A,15.909090909090908
ARID1B,29.545454545454547
ARID2,72.72727272727273
ARID4B,68.18181818181817
ARIH1,0.0
ARIH2,0.0
ARL1,0.0
ARL15,9.090909090909092
ARL2,0.0
ARL2BP,2.272727272727273
ARL3,0.0
ARL4C,77.27272727272727
ARL5A,27.27272727272727
ARL6,31.818181818181817
ARL6IP1,0.0
ARL6IP4,27.27272727272727
ARL6IP5,0.0
ARL6IP6,20.454545454545457
ARL8A,0.0
ARL8B,0.0
ARMC1,22.727272727272727
ARMC10,0.0
ARMC5,93.18181818181817
ARMC6,77.27272727272727
ARMC8,2.272727272727273
ARMC9,31.818181818181817
ARMCX1,9.090909090909092
ARMCX2,25.0
ARMCX3,2.272727272727273
ARMH3,18.181818181818183
ARMT1,4.545454545454546
ARNT,95.45454545454545
ARPC1A,0.0
ARPC1B,0.0
ARPC2,0.0
ARPC3,0.0
ARPC4,0.0
ARPC5,0.0
ARPC5L,0.0
ARPIN,0.0
ARPP19,20.454545454545457
ARRB1,0.0
ARRB2,0.0
ARRDC1,15.909090909090908
ARSA,0.0
ARSB,0.0
ARSD,34.090909090909086
ARSK,90.9090909090909
ART4,22.727272727272727
ARVCF,34.090909090909086
AS3MT,43.18181818181818
ASAH1,0.0
ASAP1,0.0
ASAP2,0.0
ASAP3,36.36363636363637
ASB1,84.0909090909091
ASB16,100.0
ASB6,63.63636363636363
ASB8,77.27272727272727
ASB9,100.0
ASCC1,22.727272727272727
ASCC2,22.727272727272727
ASCC3,13.636363636363635
ASDURF,88.63636363636364
ASF1A,72.72727272727273
ASH2L,11.363636363636363
ASL,0.0
ASMTL,2.272727272727273
ASNS,29.545454545454547
ASPA,20.454545454545457
ASPH,0.0
ASPN,0.0
ASPRV1,61.36363636363637
ASPSCR1,0.0
ASRGL1,6.8181818181818175
ASS1,2.272727272727273
ASTE1,95.45454545454545
ASXL2,40.909090909090914
ATAD1,2.272727272727273
ATAD2,90.9090909090909
ATAD2B,97.72727272727273
ATAD3A,0.0
ATAD3B,100.0
ATCAY,97.72727272727273
ATE1,4.545454545454546
ATF2,43.18181818181818
ATF7,29.545454545454547
ATF7IP,63.63636363636363
ATG101,72.72727272727273
ATG12,29.545454545454547
ATG13,56.81818181818182
ATG16L1,9.090909090909092
ATG2A,50.0
ATG2B,40.909090909090914
ATG3,0.0
ATG4A,2.272727272727273
ATG4B,0.0
ATG4C,45.45454545454545
ATG5,11.363636363636363
ATG7,0.0
ATG9A,27.27272727272727
ATIC,0.0
ATL1,0.0
ATL2,9.090909090909092
ATL3,0.0
ATM,4.545454545454546
ATN1,84.0909090909091
ATOX1,0.0
ATP11A,18.181818181818183
ATP11B,6.8181818181818175
ATP11C,15.909090909090908
ATP13A1,0.0
ATP13A3,15.909090909090908
ATP1A1,0.0
ATP1A2,25.0
ATP1A3,65.9090909090909
ATP1B1,0.0
ATP1B2,61.36363636363637
ATP1B3,0.0
ATP2A1,43.18181818181818
ATP2A2,0.0
ATP2A3,0.0
ATP2B1,0.0
ATP2B3,93.18181818181817
ATP2B4,0.0
ATP2C1,2.272727272727273
ATP5F1A,0.0
ATP5F1B,0.0
ATP5F1C,0.0
ATP5F1D,0.0
ATP5F1E;ATP5F1EP2,0.0
ATP5IF1,4.545454545454546
ATP5ME,0.0
ATP5MF,0.0
ATP5MG,0.0
ATP5MJ,4.545454545454546
ATP5MK,0.0
ATP5PB,0.0
ATP5PD,0.0
ATP5PF,0.0
ATP5PO,0.0
ATP6AP1,6.8181818181818175
ATP6AP2,2.272727272727273
ATP6V0A1,0.0
ATP6V0A2,38.63636363636363
ATP6V0C,9.090909090909092
ATP6V0D1,0.0
ATP6V0D2,65.9090909090909
ATP6V1A,0.0
ATP6V1B2,0.0
ATP6V1C1,0.0
ATP6V1D,0.0
ATP6V1E1,0.0
ATP6V1F,2.272727272727273
ATP6V1G1,0.0
ATP6V1G2,81.81818181818183
ATP6V1H,0.0
ATP7A,4.545454545454546
ATP8A1,2.272727272727273
ATP8A2,93.18181818181817
ATP8B1,95.45454545454545
ATP8B2,65.9090909090909
ATP9A,18.181818181818183
ATP9B,61.36363636363637
ATPAF1,27.27272727272727
ATPAF2,31.818181818181817
ATR,90.9090909090909
ATRAID,61.36363636363637
ATRIP,100.0
ATRN,0.0
ATRX,18.181818181818183
ATXN1,45.45454545454545
ATXN10,0.0
ATXN1L,97.72727272727273
ATXN2,20.454545454545457
ATXN2L,2.272727272727273
ATXN3,2.272727272727273
ATXN7L3B,81.81818181818183
AUH,9.090909090909092
